Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
NUP98	29	29	1484480.0		1513100.0	1147450.0	1120660.0	1292870.0	1278730.0								1004640.0		719330.0		1119060.0	997714.0	1063620.0	1358880.0	1301840.0	930949.0	1102530.0	1022260.0	1254170.0	1492490.0	1171880.0	1285110.0	1444180.0	996763.0	737702.0		1226440.0	1198590.0	1048820.0	1282920.0	1097070.0	1177090.0	1034570.0	1128020.0	1167920.0	1319190.0	1039230.0	981620.0	1259160.0	1574210.0	1195750.0	1085650.0	1121910.0	688090.0		1417380.0	1400850.0	1115310.0	1234780.0	1035640.0	930989.0	1135200.0	1137210.0	1175100.0	1223180.0	971514.0	1113580.0	1086330.0	936408.0	1088110.0	1031220.0	1091240.0	1031130.0	1255450.0	1002210.0	909998.0	958496.0	1288570.0	1071570.0	937006.0	1240290.0	1091840.0	857428.0	1129600.0	1067840.0	990459.0	998992.0	1148690.0	1274080.0	991107.0	1039550.0	1142620.0	1110070.0	1164420.0	1091630.0	1057430.0	1242320.0
NUSAP1	5	5																																															28880.0	32173.5	29587.8	41282.9	24716.1				27102.6	34809.3	27718.7	24596.3	23627.1	25779.7	22503.2	22436.6	19055.0	23552.7	25757.2	25173.9	28764.2	31199.8	30742.3	21021.3	15277.9		11673.1	22119.3	20433.2	27662.1	17741.2	11623.8	26435.1	27411.1		11216.1			20044.5		31246.5			11125.9	23390.7	15468.8	10864.4	19618.1	17733.2
NUTF2	5	5	967942.0	812369.0	1024890.0	934525.0	826166.0	1170250.0	662619.0				1163940.0			689188.0	1576880.0	1090970.0	750525.0		1793980.0	1488150.0	1080490.0	1101240.0	1175290.0	1532360.0	768927.0	1116000.0	972695.0	1108500.0	837433.0	1231480.0	759072.0	1094610.0	445438.0		799452.0	550062.0	566459.0	832049.0	803231.0	933382.0	817835.0	1096460.0	556088.0	765477.0	713719.0	790075.0	521380.0	754661.0	1026180.0	545613.0	715782.0	702935.0		1192040.0	684481.0	544190.0	506523.0	675159.0	590872.0	750646.0	959031.0	1033520.0	698773.0	669138.0	776062.0	695472.0	665152.0	682113.0	637594.0	832320.0	633640.0	617910.0	499574.0	710069.0	478859.0	762092.0	845397.0	771370.0	730963.0	845812.0	698519.0	546525.0	457710.0	446672.0	377655.0	758666.0	319206.0	814794.0	656435.0	624515.0	645682.0	998511.0	891171.0	1145000.0	646133.0
NVL	8	8	4898.35		6334.15		5786.32	4929.81									12941.0					6248.29	9326.09	8796.2	7395.38	4015.31		7768.91	9364.37	6290.71		5343.17	5992.44	7339.6							6919.79					6200.29			8767.55		6855.09	4704.18	8728.69				5080.49		3956.55	5905.56	6992.05		7293.01		5287.07	8926.98	4865.52	6251.23	5876.51	5882.05	5709.76	5701.32	4883.84		7907.46	7600.25		7536.0	7485.18	6497.77		6502.47				5767.95	4820.91				10677.8		5440.89	9373.24		5557.2	6929.4
NXF1	18	18	143374.0		148985.0	149531.0	144904.0	177359.0	171894.0								200240.0					193095.0	151957.0	146218.0	139727.0	150475.0	92459.8	128880.0	141862.0	130540.0	103573.0	107643.0	141995.0	128218.0	99196.8		123441.0	141059.0	112453.0	97310.5	155490.0	80025.0	128999.0	109504.0	129407.0	138138.0	70483.3	82977.8	138012.0	115074.0	131821.0	157618.0	131190.0	123413.0		101452.0	145471.0	130782.0	116708.0	145125.0	135588.0	146102.0	129383.0	115282.0	154926.0	125932.0	124847.0	135735.0	92278.5	142823.0	114748.0	133481.0	138661.0	98527.3	97604.5	122479.0	111514.0	123859.0	116994.0	120908.0	134758.0	136194.0	87763.0	110426.0	96403.4	131714.0	137432.0	104275.0	94738.2	117493.0	132278.0	140770.0	125452.0	109878.0	121829.0	121282.0	143699.0
NXN	10	10	46904.3		47317.5	43519.7	41702.6	41376.0									30134.9					37592.5	22912.8	22419.4	29847.0	22969.8	27694.6	29302.3	28331.9	25873.9	45554.9	22061.8	26118.7	41374.3			12387.0	38416.1	45739.1		24115.1			36389.4	24650.4	33608.7	34408.3		48434.8	49548.2	31649.6	36207.8	40906.8	26430.9		30798.9	50465.1	42352.5	55747.9	40796.3	23130.1	51077.6	48997.9	46991.4	31733.0	38881.5	36526.6	32323.3	35236.8	27419.1	27345.3	29054.1	32093.1	37173.1	38300.4	32906.6	40256.9	49110.5	27864.8	25873.6	31779.8	29977.3	20039.2	36391.4	23184.0	42961.2	39049.4	52973.4	29377.8	39736.6	39880.1	37659.4	47424.1	40497.8	46884.5	40593.3	29832.8
OAF	3	3																												239.09											771.265															7069.57								6593.99								2439.99								2290.43			2041.96	915.285				3115.54								3990.2	
OARD1	3	3	8773.58				9901.77	11003.7											4827.55				8697.19		8094.06	3177.93					4879.92	6712.47	3879.48		17425.8		22442.1	13948.8			13236.7	18105.9		6154.55	6173.06	8245.78	9158.94	19167.9	6907.13			8107.56	4019.68				8479.76		7802.76	6169.73	7268.52				6372.37	2656.61		3667.21	4096.65	5011.36	5428.0	5673.44	3675.56			5809.7		8097.51	4887.76	5375.65	3537.79	3464.76	13391.4	5583.21			3361.85	10935.4			6000.98	7405.04			5442.77	7493.94	5070.06
OAS1	4	4						2038.61																	2207.2			4379.5	2364.01		4736.55	2809.47					947.495	2795.84	3058.52		2987.14	5034.12		2268.18	3502.33	2440.63		4058.23	1240.88				1170.31			21878.9			2361.58	1181.17	1521.57			9387.28	1409.05	1818.16	1608.65	1348.88	1055.57	1073.28	2119.39	1987.24	1309.4		3609.97	2817.13	2582.59	1051.34	1920.22	2180.05	1363.33	1065.89	2950.43	3092.31	5647.18	3486.91	2285.69	5296.6	2025.59	4078.1	2615.88	2778.88	2957.56	2066.45	3223.48	6173.64	2350.09
OAS2	18	18	21700.0			18005.1	15197.8	21458.1	27261.0								98800.7					33748.8	21372.2	8415.88	66459.6	46630.8		203682.0	42208.2	16433.9	64084.2	36191.9		115719.0	64062.4		80061.7	41070.8	34806.5	38631.7	55053.9	55395.6		57606.1	93541.8	51930.2	55319.8	94324.3	29201.8	23164.2	30747.6	34510.1	31976.2			43099.1	20012.3	23611.3	59705.5	26967.6	20293.9	17575.5	20470.5	45181.4	32901.1	24306.9	49721.5	47102.7	36479.8	23684.7	40945.3	30492.2	35852.8		68108.5	42330.9	37922.6	19899.8	48379.3	32606.1	26851.3	29050.0	73062.5	74828.0	60572.6	52567.6	59904.5	72282.4	50500.5	105878.0	66296.1	72020.4	57856.5	58235.6	68595.5	57116.0	43658.6
OAS3	25	25	264743.0		272626.0	445329.0	278082.0	369551.0	210410.0				275611.0				823223.0		175809.0		233638.0	435796.0	350842.0	206346.0	715326.0	281626.0	395194.0	1425340.0	434716.0	300785.0	663239.0	493154.0	184017.0	792367.0	628138.0	314937.0	749994.0	480010.0	447585.0	621132.0	577850.0	709432.0	475633.0	710126.0	940329.0	546176.0	512365.0	1104390.0	388040.0	499667.0	581114.0	474996.0	489611.0	333440.0	441089.0	386471.0	390776.0	346890.0	841144.0	348869.0	267579.0	388665.0	460908.0	456045.0	431112.0	498358.0	635442.0	579536.0	523013.0	412718.0	480151.0	445687.0	384003.0	240163.0	621359.0	447787.0	397669.0	398318.0	424872.0	320611.0	302951.0	407102.0	395003.0	567560.0	552702.0	560372.0	662818.0	541762.0	556100.0	831047.0	547606.0	733539.0	835263.0	663516.0	956540.0	686821.0	504541.0
OASL	14	14	35176.7		36187.1	92287.4	38561.3	31849.2									146132.0				41789.8	56222.4	42933.4		152098.0	18189.3		206673.0	51258.7	33161.2	59471.2	58131.8		94669.4	54995.4		84377.3		62635.8	78879.2	52048.3	64760.3		89551.8	123606.0	63415.2	48335.6	84478.6	45179.5	39274.9	41915.9	47025.9	29539.8			135784.0	27140.1	72669.4	94320.4	27227.9	24455.1		44432.8	138545.0	45899.5	32994.7	59585.5	61757.2	52744.2	29620.7	38817.1	44371.9	33905.5		74480.1	45580.8	49572.1	37837.4	39100.9	37869.9	35583.8	28759.0		92815.4	88399.7	69656.6	71725.5	83732.6	67942.3	106253.0	91227.5	79414.3	69651.9	92614.9	98427.0	94189.3	52270.3
OAT	19	19	421988.0		317058.0	383134.0	372740.0	466717.0	277990.0				275569.0				329209.0		181937.0		258545.0	205043.0	200458.0	254393.0	232200.0	187197.0	231907.0	155494.0	412091.0	254772.0	137186.0	318464.0	255470.0	196890.0	94650.4		81061.6	106063.0	140822.0	130791.0	105709.0	172979.0	172400.0	200897.0		172218.0	188546.0	95139.4	600188.0	481437.0	492012.0	576816.0	519411.0	430128.0		315587.0	792409.0	475995.0	329432.0	577231.0	513764.0	471068.0	530706.0	269985.0	495276.0	447564.0	507743.0	374578.0	352423.0	367838.0	366997.0	475121.0	378556.0	393335.0	245167.0	401167.0	466618.0	658797.0	375205.0	377650.0	578314.0	437453.0	90743.4	114326.0	88411.0	91883.7	334188.0	105983.0	461772.0	183497.0	103626.0	240565.0	283568.0	248617.0	218918.0	329819.0	485899.0
OBSL1	3	3						82376.5																		71818.5		20129.2			149333.0	47854.2																												7014.53	23026.2					12714.8																															
OCIAD1	9	9	49456.1		73833.8	49038.3	53623.1	52044.1	60912.2								57300.8				43482.7	33833.6	60388.4	69702.0	64029.6	49923.0	62825.2	65465.1	82345.3	63861.5	61790.8	60311.9	55237.1	72883.4	46590.3	40805.4	60972.9	55504.2	63137.6	57652.0	64604.4	57938.9		72874.4	76143.9	68382.3	88330.2	77223.6	50245.8	55735.4	47223.0	56258.4	65937.1	59331.5	99703.2	75980.5	56925.4	47297.8	47472.1	67383.4	59872.8	55241.1	60465.6	53722.8	58926.6	47027.3	51170.1	49638.0	51348.4	46960.0	49649.1	57038.9	59296.2		61336.8	57134.9	48736.8	45843.9	53450.5	47369.0	58829.7	55575.9	60812.7	68974.5	53909.2	65533.7	78835.6	62967.2	48082.9	77111.6	64558.3	52570.1	56143.5	59436.0	38214.1	71272.9	67655.0
OCIAD2	4	4	20858.4	22529.3	10368.3		8580.09																16036.7	16508.7	15719.8	23416.4		10666.5	10221.4	18982.0			21371.5											18870.9		6214.25	25477.8		8863.6		13479.3	11203.6	9545.15			60614.8	15776.0	13483.0		12884.5		13322.2	9876.76	16310.3	7370.57	10017.3	3025.98	16269.2	8152.89	9779.2	8365.42	11037.1	8488.31		16207.9	10343.6		8750.96	7819.27	13188.6		11048.8				21261.3	9898.48	10939.6	7205.28		8562.67	8714.1	8237.51		17273.9	17429.5	9265.79
OCLN	2	2							3121.94															2558.44		4560.53	5982.02		2495.3	3347.49			3880.84													2471.22			3953.63		4342.74	2089.32	3906.2			8986.4	4452.69		2885.03	2782.99	4100.59		2528.86	10408.8	2531.15	2287.05	2986.38	2222.82	1558.82	2441.41	1990.43	3375.9	3499.02		1667.3			2435.89	2071.34	4147.75	5244.7	2972.62	3194.72				2959.12					2164.48	2199.57	2181.76		3217.86	2744.63
OCRL	6	6	22038.5		15324.0	20497.1	27209.5	25704.8									40121.9					32190.7	15900.2	41623.9	26539.2	32420.5	15019.3	14827.5	33542.2	35899.9		23905.7	41134.5	54024.1						19661.9	16978.0	28387.7		20013.9		20169.5				19021.0	19750.6	13046.8	12194.6	16117.7			13155.9	21068.3	13889.0	13840.2	16487.7			12860.1	20211.4	21640.4	25992.1	20492.4	14499.1	18801.8	20895.9	20518.3			16689.0	14165.2		9196.33	19052.4	12169.1	19148.7	20972.5					16532.9	18338.0	12902.7			27342.0	18076.9	18016.2	13758.1		14626.6
ODR4	4	4	24033.5																					12321.0	21014.4			23844.9	8098.52	21218.7				43970.0					28916.6			19044.5				16049.5			12803.2				8944.89				9922.63		19035.1	5685.95	9978.42			10038.7	18024.8				11205.8	11355.2		8032.98			16118.7	11172.2		14995.3	10381.4	12005.7				14697.1			13879.6	9354.87			27428.6	23406.9				21237.6	11274.6
OGA	8	8	49391.6		58773.1	38498.2	33427.1	38317.9					64922.5				57810.1				48660.7	52274.2	40207.8	60063.2	48976.7	59304.5	45834.1	48657.3	56223.6	71564.0	29994.6	33068.5	45676.2	59437.0	37946.0	54517.0	73830.6	42190.1	33930.3	61121.6	53280.9	56916.5		58964.9	42626.2	52397.8	82639.0	54639.6	21101.0	30022.7	32162.6	33778.6	39483.4	32493.7		54695.9	34941.6	41217.6	39512.4	37338.7	25268.7	23816.2	34450.8	63633.0	36698.5	36937.7	38595.4	40188.4	45841.8	36637.2	34638.6	29630.7	48096.1	40626.3	35106.6	33549.7	37835.3	36967.4	36932.5	29477.6	32933.0	30149.9	54480.9	54471.9	30914.2	66496.6	34636.4	60008.7	42029.6		44900.7	46944.4	34897.8	36243.1	42878.0	32188.1	36089.6
OGDH	30	22	318300.0		382761.0	285320.0	223568.0	240566.0	234411.0				245777.0				328929.0				326308.0	220209.0	183818.0	325478.0	304981.0	201769.0	312876.0	240738.0	354233.0	331291.0	300797.0	236802.0	273158.0	202593.0	441928.0	341695.0	643288.0	399310.0	439872.0	584498.0	538597.0	419359.0	260365.0	533272.0	428440.0	491688.0	469083.0	529881.0	317983.0	379966.0	323308.0	314188.0	324656.0	218722.0		504920.0	390921.0	287811.0	425038.0	406489.0	215541.0	341078.0	348894.0	421658.0	376606.0	298817.0	339945.0	362310.0	279951.0	268639.0	306218.0	299546.0	329469.0	306152.0	378644.0	361911.0	419322.0	323834.0	290804.0	275238.0	329745.0	250609.0	499509.0	491150.0	472598.0	604469.0	394299.0	553942.0	369056.0	455984.0	519931.0	464461.0	392479.0	372197.0	443408.0	457401.0	336201.0
OGFOD1	4	4	44064.6			16428.3		20381.8																26707.7						16614.6					76712.3							28783.6				24958.4			63021.3	58140.7	102123.0	63960.5	46037.1	65534.1		34926.0	52563.0	61198.6	35243.8	59439.1	53703.9	116826.0	93787.4		52805.3	73566.8	66908.8	60044.7	40179.2	44971.3	75167.8	55241.9	55143.2		50651.5	59402.9	86648.2	54181.4	51770.0	34457.8	45356.6	38891.6		44104.5		27922.7	46745.7		55898.0		25135.7	28112.6	58559.8	58363.2	70433.0	59077.8	47494.6
OGFOD2	3	3																																															645.728		286.13									462.909	189.508						1331.38		75.4887	103.453	381.884				744.703			142.145	971.707					477.554											359.803		863.511
OGFOD3	2	2	4309.32					7100.68																			9003.47		6452.02				2890.08											9410.8		3587.9			3251.34								8073.03		4469.22	8137.83			13894.0	15404.7			4856.17	3591.26	5986.84	4500.35	8518.89	5436.49	7127.41		3117.62	9166.81		6909.89	5364.21		8506.79		9620.11	4013.12							5398.18	8832.35	6578.84			5101.68	
OGFR	19	19	167569.0		225591.0	155155.0	147844.0	146129.0	138077.0				283955.0		231702.0	312017.0	314407.0		199768.0		337712.0	268678.0	237757.0	203827.0	307940.0	211692.0	210245.0	385509.0	222311.0	187435.0	296542.0	218462.0	204325.0	280904.0	216903.0	192949.0	249597.0	184578.0	246063.0	315371.0	249655.0	257434.0	283419.0	256925.0	258217.0	223829.0	253166.0	278932.0	255419.0	324742.0	297833.0	294565.0	283721.0	302839.0	225561.0	212510.0	303796.0	294775.0	285266.0	271129.0	251358.0	245842.0	316356.0	162590.0	318210.0	309754.0	362115.0	295138.0	249391.0	244466.0	275458.0	265570.0	268579.0	287916.0	305992.0	232919.0	265349.0	357109.0	251974.0	210879.0	308934.0	279051.0	264568.0	246827.0	199927.0	235749.0	257803.0	182956.0	288581.0	251136.0	235340.0	302966.0	289571.0	293453.0	276964.0	233277.0	271300.0
OGFRL1	4	4																							4632.24																				6053.82				4723.63	6721.85		3595.09					4721.55		3894.83	3465.65	3990.36	4636.47	7747.2	4505.91	4703.65	5138.57	5337.18	3095.0		4302.71	4626.62	3873.8	5671.98		4949.16	4277.93		4720.17	7266.17	2931.98	8043.57	7315.45		3283.62			4488.98					3891.79	3359.89	3806.8		3787.4	4216.97
OGN	19	19	1980760.0	1084580.0	1445330.0	2463910.0	2841230.0	3097090.0	1352890.0		634418.0		414894.0	392985.0		1195550.0	1952570.0		1402050.0		2957600.0	3255190.0	2473010.0	1499790.0	1119130.0	554382.0	1599060.0	2373410.0	1332030.0	2581860.0	1175430.0	2368590.0	1160810.0	887757.0	23322500.0	16960600.0	2505520.0	1799440.0	8663070.0	7576620.0	3950660.0	5066550.0	1083360.0	14480200.0	3843350.0	6195670.0	2279600.0	7175000.0			399817.0	63529.4	102022.0			161400.0	47356.9		438455.0	49633.3	88780.0			189071.0	64931.0	78444.3	40773.4	136394.0	56341.3	48377.1		59341.3	131210.0		618937.0	82051.6	149524.0			79548.7		135463.0	1180520.0	25406000.0	9350790.0	1644370.0	986910.0	8596380.0	165160.0	2239680.0	3564730.0	2522690.0	263151.0	188631.0	931198.0	110375.0	99149.0
OGT	20	20	17318.8		16420.2	15993.1	12777.5	16659.3	17152.4								11219.7				23275.3	20220.0	9344.39	16681.5	17262.6	19150.4	11561.8	13640.3	18421.5	16927.0		14445.0	20365.4	15925.5	11053.9		15477.2		12496.7	17926.4	17440.7	12342.4	17640.7		17379.4	17363.8	9714.73	15969.8	12840.2	14726.0	9035.75	13725.5	14951.3			16146.5	14924.6		14928.7	12101.8	12530.4	14134.8	12476.6	15503.7	12907.7	13470.6	12348.6	16166.2	13208.2	11072.1	14305.2	11996.0	11125.9		12573.5	12749.5	10792.0	14511.9	13697.3	12635.1	11979.4	16515.1	11827.2	14453.3	11777.1	18331.5	12105.4	17145.5	13748.3	13356.8	13834.7	13207.4	16121.1	9687.52	7427.44	13879.1	13399.8
OLA1	17	17	383975.0		499921.0	421078.0	349357.0	347282.0	279688.0		424704.0		391108.0			381637.0	370431.0	576794.0	426866.0	612883.0	544166.0	382414.0	409908.0	346486.0	421496.0	419027.0	465256.0	343027.0	297714.0	468491.0	332086.0	413223.0	342900.0	404767.0	368119.0	308368.0	280693.0	316334.0	279940.0	233384.0	286467.0	279427.0	324560.0	382865.0	252972.0	347997.0	373791.0	340052.0	524569.0	550055.0	484730.0	447012.0	547613.0	569426.0	497277.0	782198.0	553630.0	406875.0	405024.0	497277.0	518383.0	610036.0	496537.0	649880.0	481631.0	566711.0	418310.0	425185.0	422613.0	464334.0	395098.0	426162.0	392605.0	299381.0	466357.0	538376.0	502887.0	452105.0	515939.0	463494.0	449417.0	535263.0	401218.0	349355.0	315388.0	343909.0	448132.0	463166.0	417611.0	450484.0	413442.0	427756.0	403319.0	407114.0	392895.0	418691.0	515871.0
OLFM4	6	6	13255.3			15450.4																				11379.4																														49399.4								26017.2	6996.9							13374.0			3541.58					11750.2			28190.7					21859.0			13884.5					19177.5	
OLFML1	8	8	41703.9		46853.3	41472.7	42060.5	55974.0			73729.2				64275.6		47953.4				85232.4	126169.0	47327.2	49413.5	53777.6		89308.1	67295.6	38969.9	100443.0	48014.2	38257.9	31673.0	42840.8	769060.0	341308.0	127400.0	177438.0	212871.0	338821.0	266761.0	159983.0	51021.4	314161.0	187783.0	300115.0	40936.1	197044.0			45380.8				90450.5				32175.0							7004.54		11762.7			20767.3	23701.1			16712.2	14998.3							43367.3	498989.0	174731.0	100497.0	36382.0	188854.0			103414.0	64309.7	37203.2		93277.0		
OLFML3	12	12	106409.0		73092.8	94783.0	119941.0	155476.0													46430.8	148762.0	106131.0	66463.9	61241.4	43158.6	176398.0	188351.0	59218.3	173539.0	91658.5	100224.0	53385.9	94693.5	891260.0	233235.0	187208.0	190188.0	440062.0	414988.0	240031.0	162761.0	93285.5	402848.0	266054.0	355622.0	164342.0	247528.0	41172.7	33456.8	113925.0	38116.8	38803.2			46966.8	19232.4		145639.0	27479.4	25216.8		51345.5	73833.1	53100.1	33831.8	43658.4	51315.9	39347.8	40399.0	28603.5	63095.2	61305.4		68365.9	54139.3	39710.6	44212.6	39057.5	46847.0	39010.3	46847.2	90886.9	766094.0	442310.0	168646.0	85088.7	364821.0		138166.0	186781.0	163849.0	99373.9	83796.3	215873.0	54987.6	45199.5
OPA1	38	38	81656.3		103549.0	82016.2	76124.5	85797.9	107791.0				94516.1				123815.0		57902.3		146127.0	77841.2	72212.1	127223.0	100011.0	87798.6	123787.0	70654.9	133933.0	127112.0	64393.7	75864.8	113391.0	81463.4	93156.2	103941.0	105587.0	92387.9	113353.0	115937.0	103895.0	113739.0	112841.0	84288.6	94899.5	111589.0	109095.0	90583.7	138062.0	127159.0	136658.0	136020.0	123672.0	56364.7		115983.0	162075.0	125136.0	130145.0	147501.0	123192.0	157483.0	136856.0	117801.0	155626.0	125697.0	142258.0	128493.0	115234.0	112318.0	115207.0	117544.0	153974.0	129408.0	120019.0	120923.0	113695.0	141422.0	126505.0	88745.1	97132.8	111734.0	117413.0	95208.5	122151.0	125313.0	136411.0	115271.0	112192.0	88173.2	124608.0	120889.0	101370.0	92205.0	108458.0	127705.0	141400.0
OPA3	1	1																						10223.8					6784.87				6916.2						15144.7		10323.7			18955.0		6003.8			3334.65				2829.66			9289.51			5961.64	3900.17	3247.86				7753.85	2826.24		7264.92	5974.18	4151.75	4430.21	3127.04								5004.0				8006.73			6014.69	8134.2				14803.6				4659.12	9493.37
OPLAH	36	36	221277.0		273862.0	207090.0	203023.0	280977.0	183734.0			179124.0	233679.0	211067.0			282037.0	169582.0	162928.0	146047.0	296067.0	277052.0	205311.0	280061.0	281992.0	262705.0	243823.0	240913.0	473946.0	314855.0	224090.0	205772.0	274074.0	312130.0	74921.4	102586.0	66424.7	167940.0	138227.0	95733.0	86629.7	134636.0	291679.0	139693.0	73854.9	129914.0	124055.0	121790.0	252435.0	298088.0	195191.0	191002.0	165554.0	183345.0	198978.0	251270.0	283010.0	233057.0	147518.0	219344.0	201419.0	197761.0	216956.0	220162.0	210481.0	230909.0	142384.0	199292.0	178151.0	201904.0	186569.0	233212.0	186512.0	294859.0	131351.0	173345.0	171687.0	189986.0	206593.0	182506.0	205766.0	198756.0	71232.3	64713.8	70461.6	71317.5	141040.0	88226.4	198379.0	139870.0	78156.9	117792.0	125188.0	107993.0	147446.0	151017.0	149401.0
OPRPN	5	5	31882.6	626267.0		55237.1	50805.2	41018.4	200989.0	1491950.0	454706.0	231499.0	124300.0	542277.0	1947300.0	206182.0	212396.0	695593.0	134007.0	130475.0		40920.6			555046.0	175758.0	94192.5	172063.0	84413.9	51223.1		90524.1	72979.4	133780.0	299460.0	61854.5		705419.0	172824.0	132062.0	45998.9	77202.5	81176.4	185432.0	121584.0	20239.9		210863.0	53684.0	122352.0	69845.3	65026.3	40759.9	618585.0	207923.0	4122940.0	60799.1	142199.0			65336.2	42414.2	48063.3	2090230.0	62565.9	63658.2	46518.6	42639.8			28353.4	1071020.0	62109.6		36285.2	34621.7	30445.8	84436.5	29003.8	939966.0	186795.0	66990.5	68657.2	42401.2	106216.0		43791.7	1941020.0	127464.0	388218.0	32815.1	47396.5	41701.6	411029.0	21844.3	2133990.0	50853.1
OPTN	13	13	70967.7		142432.0	60096.4	44916.8	48427.6									116780.0					75921.0	72003.1	72464.7	105747.0	62517.4	65005.4	120034.0	59340.4	79789.9	69609.8	92182.5	56050.0	59707.3	42889.2		84863.8	73885.9	117215.0	126439.0	110576.0	88148.6	87699.9	56416.6	102482.0	106005.0	71764.3	107904.0	55594.8	81676.8	60724.9	55668.4	72194.3	39239.9		44908.5	50361.6	45573.2	77477.7	48734.8	29998.6	51204.6	34142.2	44869.3	48516.9	41545.5	56669.0	59934.6	47948.8	42081.3	52816.1	52573.0	45042.0		62727.7	55484.7	58305.2	52397.9	50517.7	47380.8	87165.0	68361.7	119894.0	87265.0	149583.0	159789.0	62748.7	106229.0	53894.9	108640.0	99807.0	87742.2	51497.4	53082.4	98902.5	77143.3	55789.1
OR4K3	1	1						6555.56														4054.2	7638.11	3718.28						2611.52		4996.93												3527.45	5928.58	1619.41			12743.1			14837.3	14281.2	11468.7			10319.4		4862.37	5794.21	9442.65	6428.77	10197.4		11249.0	11057.2	7591.86	6766.63	6543.23	11343.9	9198.33	6137.69	8204.85		6141.42	7228.13	8032.37	8725.69	8427.46	11149.7		12387.9		2840.02			5302.77	3657.65	9212.07			5565.11	6079.24	11366.2	5039.36	4474.11	9505.97
ORC2	3	3	4255.19				4139.73																	4574.56	4473.73	5437.67		3303.91	2969.66	1853.08			3971.19								4677.18	4771.45				5080.5			5951.88	13191.8	7715.32	5262.72	5351.88			3259.17	4481.92	4133.43	3097.2	6026.47	3679.34	3648.32	7185.6	3088.18	4921.92	4202.85	4521.79	5561.6	3572.21	4653.97	3489.94	5766.21	4828.64	1767.08		3013.81		6122.66	6558.43	6417.83	8141.4	5445.53		2967.38	6543.73	2458.63	4056.94	3261.79				4431.27	6675.12			4641.33	5142.76
ORC3	3	3																						315.081						485.466	477.854										692.179					694.215			323.258				516.183				698.495	394.384		291.041	498.661				423.507		510.902		198.57	196.837	652.43	432.005			668.145	247.005		291.391	792.042	453.589		424.996		596.872		597.377						619.775				416.808	565.51
ORC4	2	2																																											29842.3	12959.5		35369.1	45341.3				25745.2				25899.0	33621.0		13825.8				28219.4	41719.0	41104.4	32670.6		26345.5	15762.4	29305.9	23918.9		45570.2	21351.4	22902.6		27527.1		24082.9	34589.8	35065.3		16879.9		24351.6			32769.6							45039.4	30035.5
ORC5	3	3																						981.8						878.611			2207.76													2303.58			1015.39	2342.21			2453.4				3725.03				1851.07				1813.15		875.472	3240.76	2253.49	964.091	3428.45	2638.93	779.665		1402.0	525.253		1380.12	3103.56		2834.81						825.83	778.595	4609.42				1127.1				2454.97
ORM1	6	6	570417.0		372382.0	757491.0	664030.0	421325.0	384310.0	858607.0			621461.0		2065800.0		673444.0	1467820.0	821530.0		449383.0	271303.0	256675.0	286552.0	646292.0	502585.0	754613.0	511054.0	303986.0	559148.0	399699.0	419025.0	467485.0	414597.0	760994.0	921068.0	309442.0	505377.0	419907.0	817075.0	416652.0	385996.0	358171.0	884761.0	433054.0	299888.0	320707.0	411473.0	459124.0	1353920.0	751808.0	426151.0	607555.0	1277490.0	2772550.0	6484690.0	342820.0	203455.0	481263.0	438813.0	271245.0	547607.0	858104.0	3355110.0	617710.0	783220.0	945709.0	772370.0	824099.0	621065.0	748837.0	2483310.0	892454.0	777090.0	641475.0	416206.0	748799.0	493315.0	710020.0	2143780.0	693534.0	935931.0	1642220.0	1645810.0	1324110.0	995630.0	631744.0	4911690.0	586157.0	1634810.0	1581990.0	1154690.0	881122.0	732348.0	1482120.0	3466200.0	932126.0
ORM2	8	6	1054040.0	1015970.0	321903.0	1073470.0	832877.0	832949.0	341683.0	2402080.0	1379060.0		652181.0	1318440.0	1507570.0	1732490.0	1056960.0	2008350.0	934790.0	973979.0	809107.0	553170.0	435753.0	456404.0	1175880.0	827475.0	1237450.0	920932.0	362477.0	612890.0	705271.0	651612.0	888955.0	531458.0	1523250.0	979381.0	498764.0	639782.0	625228.0	1040240.0	1010690.0	592778.0	774684.0	1628570.0	555432.0	491924.0	758724.0	593882.0	436545.0	1779230.0	905573.0	668060.0	617465.0	1429840.0	1992330.0	9853260.0	404740.0	290299.0	559767.0	534660.0	419148.0	555296.0	834681.0	5770930.0	819697.0	888901.0	1192020.0	1017960.0	1118780.0	766202.0	923216.0	2874780.0	1414490.0	1064290.0	1257970.0	559647.0	704890.0	594543.0	841121.0	3254160.0	862969.0	929491.0	2699750.0	2761510.0	1648780.0	1787890.0	700877.0	8443350.0	412620.0	3075130.0	2801310.0	1720260.0	1203740.0	1275000.0	2120700.0	6668230.0	1473210.0
