Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
ABCB6	8	7																				74643.3		28004.4	81890.8	50593.2		77546.3	71249.7	76526.9			62194.6	94366.4						70751.8	40619.9	64037.7				50046.1	67599.7		81104.9			68571.4	120738.0			127851.0	83859.0	187529.0	74822.4	162986.0	173991.0			174438.0	64691.2	89799.3	64294.9	87408.5	64178.8	61409.5	94344.9	118578.0	63552.9		91168.8	186878.0	57952.9	78871.3	114412.0	74200.8	116102.0	97871.7		93372.4		65762.1		81966.4	54004.3		124960.0	61220.9	94665.9	109858.0		105782.0	95115.8
ABCB7	7	7	16752.3		14751.1	10842.5	17658.2	16208.4	11648.4				11163.8				24125.0	15925.0			17719.8	7855.05	12883.0	21656.5	17702.2	12364.4	14020.3	8931.1	21791.5	20825.5		12039.2	19440.9	11627.3	13783.9		15115.6	15225.4		14287.7	16467.5	14430.4		20735.9	12324.2	17503.1		15633.4	8031.33	13707.1	14593.3	12071.3	10959.5			13324.2	12742.4	9289.73	13033.2	11709.9	9595.23	8216.91	15984.5	10268.7	11071.6	11752.8	10730.8	14049.9	15721.6	9778.46	11108.7	10521.5	10635.1		12585.2	13905.6	9897.82	11379.2	11137.3	10394.0	14693.8	13800.9	12141.1	9133.38	7095.53	15491.6	12431.4	17074.7	14844.3	15134.7	14398.5	14140.3	17695.7	11975.6	17611.0	11162.3	9648.38
ABCB8	7	7			2572.15			3907.59									2776.24					9683.07	2481.72	4100.49	6166.6	4528.41		8153.12	6541.4	3228.45			9425.11				4198.32				3446.42	3148.41	7073.08	7886.79		4110.97	9236.38		2978.38			3349.21	2978.11			3200.15	2433.37		4882.24	3860.06			2171.77			2090.64	3096.68	2695.63	2782.75	1993.15	2234.51	1957.18			4292.27	1966.15		2489.75	3219.28	994.19		3117.81	2583.94	3862.52		5601.81	1760.82	4733.31			2581.38	5910.78	4148.41			4682.42	2381.15
ABCC1	16	15	25639.9		16948.8	24329.7	20414.2	15949.5	14926.8								9306.4					11496.3	6951.49	13707.1	11247.0	7931.34	10128.9	11398.7	10084.7	15999.7		12053.2	10315.5	12309.0	12160.7		11018.1	17985.1	9308.95	11910.5	12886.2	15432.0		12733.1	10567.9	15862.2	12409.2	13796.8	13573.9	13438.1	13001.9	17902.1	13975.6			18477.7	16499.1	10400.5	11713.1	15504.5	10357.0	12513.0	15701.5	24595.1	11387.2	12451.8	16146.3	17415.5	11943.0	9921.46	9671.85	11541.6	14439.1		11915.0	14501.1	13920.7	10799.8	13893.7	14521.5	14357.4	13859.8	8510.16	16085.5	6574.94	10390.1	11048.0	15305.2	11994.1	11497.2	13674.8	16891.4	12224.5	9709.27	10746.3	13661.6	11516.2
ABCC10	1	1			637.736																																																																																												
ABCC4	11	11	4370.56																										2745.98	2254.66		3020.82					7354.46			4375.7	4089.19					5940.36			6534.4	4688.95	4604.6	5496.28	7366.62			4655.23	5748.52	8804.7	6930.07	5101.52	6488.49	4037.17	4683.97	3056.23	7253.03	8471.7	8328.9	7425.09	8381.59	7652.84	8063.0	7267.16	3864.19		6567.47	3702.0	6772.55	6848.44	5783.58	5470.57	6275.67	7423.68		5114.27	4101.56	6918.16	7256.34	6059.07	4877.9	5561.1	4084.1	4619.87	8047.49	9014.76	3590.81	5761.71	5637.16
ABCD1	17	16	100207.0		98247.9	107257.0	117342.0	114331.0	71353.4				128979.0				238731.0	166159.0	164334.0		77361.9	217022.0	198512.0	92154.0	241134.0	238538.0	99951.3	295220.0	92251.5	84403.7	172945.0	105041.0	78794.5	228440.0		82107.5	70734.2	65550.7	84677.0	65881.4	67469.8	72119.8	51899.7	112841.0	70841.5	82738.9	169250.0	122111.0	61086.9	69320.1	68285.2	79853.1	111750.0			58449.6	76886.1	81224.4	109789.0	107577.0	80928.2	117134.0	99135.8	59578.1	76303.4	88838.1	145351.0	114053.0	115117.0	66477.3	104504.0	90080.6	99836.5		97727.9	105067.0	90600.1	70477.6	110079.0	77653.4	85505.6	87570.9	65302.0	101634.0	89211.6	48640.2	119676.0	78180.2	72290.0	136899.0	96322.5	120157.0	115515.0	141764.0	128748.0	108948.0	106580.0
ABCD3	18	18	98231.7		74483.2	54735.7	41893.4	53125.2	54940.3				67745.8				83443.0		44956.7		63525.9	102269.0	66716.7	80342.7	113271.0	132734.0	70907.8	87514.5	99852.2	86401.6	56312.8	67696.1	102194.0	125115.0	41356.0		31477.1	63029.3		45060.7	47408.2	60822.8	63328.5	38462.6	44830.7	55562.8	64463.7	42230.0	68034.6	72004.8	72752.3	84018.8	94525.4	49102.7		211114.0	88730.8	78140.9	54330.8	84811.3	111810.0	88945.6	87394.1	231799.0	69761.7	73774.0	74754.9	70604.3	47956.6	39835.3	48137.8	70446.3	86762.8	33660.7	61657.7	78993.8	78870.1	67789.0	76189.9	83117.9	80960.7	64684.3	47232.5	39662.4	42092.3	36185.5	80475.3	65835.5	60639.4	51795.3	45907.1	61487.0	65215.4	47016.8	45870.9	82957.9	78287.2
ABCE1	22	22	250754.0		209724.0	237798.0	205653.0	224169.0	220314.0				265889.0				269993.0		165381.0		179429.0	241941.0	219146.0	222125.0	263237.0	216561.0	232388.0	231232.0	251063.0	252990.0	239651.0	223383.0	228214.0	218776.0	219194.0	236271.0	250015.0	209772.0	268471.0	201851.0	279903.0	234037.0	195395.0	247382.0	243595.0	302061.0	294544.0	261611.0	336827.0	386754.0	341430.0	448812.0	418010.0	269386.0		435791.0	401038.0	378062.0	300074.0	318140.0	377182.0	270004.0	306942.0	422621.0	336389.0	346105.0	368473.0	390254.0	341317.0	292600.0	338149.0	331952.0	308441.0	222488.0	413402.0	373324.0	334241.0	355775.0	370837.0	329657.0	487734.0	420140.0	257132.0	320316.0	226734.0	288748.0	363709.0	288810.0	366220.0	388312.0	310944.0	380859.0	340409.0	413775.0	317928.0	370043.0	349083.0
ABCF1	26	26	187250.0		148425.0	197324.0	160786.0	168262.0	147594.0						133092.0		149005.0	144678.0	106995.0	115449.0	128066.0	155309.0	201032.0	112233.0	167507.0	136931.0	120465.0	174139.0	96598.7	122303.0	123871.0	172375.0	97490.6	173768.0	148281.0		132285.0	106339.0	99421.0	97973.6	137454.0	137025.0	126789.0	146078.0	146942.0	154727.0	160712.0	149102.0	120417.0	116813.0	101138.0	120441.0	142600.0	85703.3		179498.0	171453.0	115483.0	131637.0	141720.0	132128.0	136243.0	123386.0	175420.0	123513.0	136560.0	133879.0	137672.0	125194.0	133219.0	120534.0	135069.0	123871.0	95077.5	122726.0	135656.0	124491.0	142724.0	122556.0	125933.0	135304.0	149641.0	146408.0	146604.0	149759.0	146706.0	143311.0	150552.0	146101.0	153100.0	119456.0	112386.0	116893.0	152939.0	117653.0	139912.0	135628.0
