gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
PHF10,4,10,12.253835427272525,11.946760515526284,0.30707491174624124,26.0,0.4535464535464536,0.8613395464363773
RABIF,4,10,14.122150302951429,13.932333899077065,0.18981640387436371,26.0,0.4535464535464536,0.8613395464363773
TXNDC9,4,10,13.100167055415373,12.952670769138365,0.14749628627700773,26.0,0.4535464535464536,0.8613395464363773
SELPLG,4,10,11.711291801577731,11.976197775424993,-0.2649059738472612,14.0,0.4535464535464536,0.8613395464363773
LRRC8E,10,15,12.703775322480615,12.502231628051065,0.20154369442954945,89.0,0.4539504737647142,0.8613395464363773
ZMYM2,10,15,15.017241751115225,14.909204513786767,0.1080372373284586,89.0,0.4539504737647142,0.8613395464363773
TBC1D22A,9,12,11.274339077235844,11.145543291416393,0.12879578581945061,65.0,0.45554509378932984,0.8613395464363773
GALNT6,7,7,16.209617663935408,16.483586911980463,-0.27396924804505574,18.0,0.45571095571095577,0.8613395464363773
TTC9,7,7,10.44892051222641,10.053622129110625,0.3952983831157848,31.0,0.45571095571095577,0.8613395464363773
NSUN6,7,7,11.390798318176383,11.075681581330665,0.3151167368457184,31.0,0.45571095571095577,0.8613395464363773
MRPL12,12,14,17.319297476908016,17.256710492243172,0.06258698466484347,99.0,0.4557885270555013,0.8613395464363773
SUMO1,12,14,18.375703686423687,18.23249470299364,0.1432089834300463,99.0,0.4557885270555013,0.8613395464363773
COPS6,12,14,16.546275383440072,16.617543882655987,-0.07126849921591472,69.0,0.4557885270555013,0.8613395464363773
GLA,12,14,14.785557855023434,14.519513964883515,0.2660438901399189,99.0,0.4557885270555013,0.8613395464363773
MRPL37,12,14,14.812985693867063,14.908457754858423,-0.09547206099136041,69.0,0.4557885270555013,0.8613395464363773
USP15,12,14,16.151279377532422,16.006605264555386,0.14467411297703592,99.0,0.4557885270555013,0.8613395464363773
ATXN10,12,14,13.862789609595183,13.803670832624217,0.05911877697096557,99.0,0.4557885270555013,0.8613395464363773
SUZ12,12,14,13.704962485276864,13.633674965759099,0.07128751951776557,99.0,0.4557885270555013,0.8613395464363773
MIDEAS,12,14,13.443993333610221,13.409797865404629,0.03419546820559205,99.0,0.4557885270555013,0.8613395464363773
TP53I11,8,13,11.726877976831648,11.488831520587963,0.23804645624368526,63.0,0.45580618212197166,0.8613395464363773
ACYP2,6,9,8.89596146186317,8.581977392772702,0.31398406909046805,34.0,0.45594405594405585,0.8613395464363773
CPNE8,6,9,11.012281526308655,10.573040079168894,0.43924144713976077,34.0,0.45594405594405585,0.8613395464363773
RBBP6,6,9,10.315964439304539,10.510596260797213,-0.1946318214926741,20.0,0.45594405594405585,0.8613395464363773
WDR45,6,9,11.022510403351975,10.511091676193782,0.5114187271581923,34.0,0.45594405594405585,0.8613395464363773
CDK19,10,11,11.520351230556882,11.380293857468839,0.14005737308804278,66.0,0.4596715909585638,0.8613395464363773
AHCYL2,10,11,13.155984113110772,12.91049319260677,0.24549092050400212,66.0,0.4596715909585638,0.8613395464363773
BCAS3,8,10,10.676579872805707,10.526872532831646,0.14970733997406072,49.0,0.4597559303441656,0.8613395464363773
TRIM32,8,10,11.419902316242894,11.233195942330621,0.18670637391227274,49.0,0.4597559303441656,0.8613395464363773
EXOC7,11,14,14.939142869976234,14.847828084454026,0.09131478552220784,91.0,0.4598729830282656,0.8613395464363773
PDS5A,11,14,14.439972701941825,14.395304458209566,0.04466824373225897,91.0,0.4598729830282656,0.8613395464363773
HBS1L,11,14,14.60251576373063,14.688480705127278,-0.08596494139664834,63.0,0.4598729830282656,0.8613395464363773
ARFGEF2,11,14,13.482290447850396,13.447935133289459,0.03435531456093699,91.0,0.4598729830282656,0.8613395464363773
CBX5,11,14,14.213679862555939,14.049397251641372,0.16428261091456697,91.0,0.4598729830282656,0.8613395464363773
ACBD5,11,14,17.691652265706978,17.7239810264812,-0.03232876077422375,63.0,0.4598729830282656,0.8613395464363773
IFI44,11,14,16.147661958466507,16.340133144326348,-0.1924711858598407,63.0,0.4598729830282656,0.8613395464363773
ARL3,11,14,15.63358163074633,15.738674119808252,-0.10509248906192248,63.0,0.4598729830282656,0.8613395464363773
NDE1,11,14,15.229959662766015,15.11141788481096,0.1185417779550555,91.0,0.4598729830282656,0.8613395464363773
RCOR1,11,14,16.671994541847628,16.643257231195385,0.028737310652243053,91.0,0.4598729830282656,0.8613395464363773
SBF1,11,14,13.931066385745805,14.185626319545415,-0.2545599337996105,63.0,0.4598729830282656,0.8613395464363773
CHMP2A,11,14,15.315185047797236,15.420110688981088,-0.10492564118385239,63.0,0.4598729830282656,0.8613395464363773
RIGI,11,14,14.777230234436747,14.805618961383596,-0.02838872694684902,63.0,0.4598729830282656,0.8613395464363773
UTP14A,11,14,13.170382608629085,13.108658749752436,0.06172385887664866,91.0,0.4598729830282656,0.8613395464363773
WDR6,4,8,10.680629430177559,10.489899479109656,0.1907299510679028,21.0,0.46060606060606063,0.8613395464363773
MOB3A,4,8,12.09040099855911,12.258293015681407,-0.16789201712229662,11.0,0.46060606060606063,0.8613395464363773
ZBTB11,4,8,9.707556407837803,9.448605017913412,0.25895138992439115,21.0,0.46060606060606063,0.8613395464363773
CDAN1,4,8,9.55310195762746,9.641637982043344,-0.08853602441588393,11.0,0.46060606060606063,0.8613395464363773
CSNK1G1,4,8,13.113761210880611,12.564769817109738,0.5489913937708728,21.0,0.46060606060606063,0.8613395464363773
MAPRE3,4,8,9.063575687816735,8.47628714858153,0.587288539235205,21.0,0.46060606060606063,0.8613395464363773
FOXRED2,4,8,11.625821256553044,11.419772907003257,0.20604834954978735,21.0,0.46060606060606063,0.8613395464363773
POLR2E,13,15,17.31925541999487,17.25148464831374,0.06777077168113266,114.0,0.4610946780253201,0.8613395464363773
ZG16B,13,15,19.51675655634493,18.787266495889387,0.729490060455543,114.0,0.4610946780253201,0.8613395464363773
NDUFS3,13,15,19.549298336474546,19.459641355112236,0.08965698136231026,114.0,0.4610946780253201,0.8613395464363773
SEPTIN7,13,15,18.919788850852903,18.767538766127892,0.15225008472501145,114.0,0.4610946780253201,0.8613395464363773
SRSF1,13,15,21.56116815702687,21.466661168959952,0.09450698806691804,114.0,0.4610946780253201,0.8613395464363773
PSMB10,13,15,19.46741623722719,19.362854230558703,0.10456200666848758,114.0,0.4610946780253201,0.8613395464363773
UBA1,13,15,22.213649160469,22.12669653570456,0.08695262476443943,114.0,0.4610946780253201,0.8613395464363773
PDIA4,13,15,19.567239706192307,19.468644227478876,0.0985954787134311,114.0,0.4610946780253201,0.8613395464363773
RAB14,13,15,20.53449987574599,20.39192197725332,0.14257789849267155,114.0,0.4610946780253201,0.8613395464363773
SDHA,13,15,20.947551091617846,20.98624132584149,-0.03869023422364393,81.0,0.4610946780253201,0.8613395464363773
A1BG,13,15,18.85352193833541,18.986651325512508,-0.13312938717709955,81.0,0.4610946780253201,0.8613395464363773
DDX5,13,15,21.7514581574415,21.722924091870407,0.028534065571093947,114.0,0.4610946780253201,0.8613395464363773
DUT,13,15,18.32016800289978,18.411431900360057,-0.09126389746027641,81.0,0.4610946780253201,0.8613395464363773
