spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide2_152_19_x14600y3800,14600,3800,14400,3600
slide2_152_19_x15000y3800,15000,3800,14800,3600
slide2_152_19_x200y4200,200,4200,0,4000
slide2_152_19_x600y4200,600,4200,400,4000
slide2_152_19_x1000y4200,1000,4200,800,4000
slide2_152_19_x1400y4200,1400,4200,1200,4000
slide2_152_19_x1800y4200,1800,4200,1600,4000
slide2_152_19_x2200y4200,2200,4200,2000,4000
slide2_152_19_x3400y4200,3400,4200,3200,4000
slide2_152_19_x3800y4200,3800,4200,3600,4000
slide2_152_19_x4200y4200,4200,4200,4000,4000
slide2_152_19_x5000y4200,5000,4200,4800,4000
slide2_152_19_x5800y4200,5800,4200,5600,4000
slide2_152_19_x6200y4200,6200,4200,6000,4000
slide2_152_19_x6600y4200,6600,4200,6400,4000
slide2_152_19_x7000y4200,7000,4200,6800,4000
slide2_152_19_x7400y4200,7400,4200,7200,4000
slide2_152_19_x7800y4200,7800,4200,7600,4000
slide2_152_19_x8200y4200,8200,4200,8000,4000
slide2_152_19_x8600y4200,8600,4200,8400,4000
slide2_152_19_x9000y4200,9000,4200,8800,4000
slide2_152_19_x9400y4200,9400,4200,9200,4000
slide2_152_19_x9800y4200,9800,4200,9600,4000
slide2_152_19_x11800y4200,11800,4200,11600,4000
slide2_152_19_x12600y4200,12600,4200,12400,4000
slide2_152_19_x13400y4200,13400,4200,13200,4000
slide2_152_19_x13800y4200,13800,4200,13600,4000
slide2_152_19_x14200y4200,14200,4200,14000,4000
slide2_152_19_x14600y4200,14600,4200,14400,4000
slide2_152_19_x15000y4200,15000,4200,14800,4000
slide2_152_19_x15400y4200,15400,4200,15200,4000
slide2_152_19_x15800y4200,15800,4200,15600,4000
slide2_152_19_x16200y4200,16200,4200,16000,4000
slide2_152_19_x16600y4200,16600,4200,16400,4000
slide2_152_19_x17000y4200,17000,4200,16800,4000
slide2_152_19_x17400y4200,17400,4200,17200,4000
slide2_152_19_x17800y4200,17800,4200,17600,4000
slide2_152_19_x18200y4200,18200,4200,18000,4000
slide2_152_19_x18600y4200,18600,4200,18400,4000
slide2_152_19_x19000y4200,19000,4200,18800,4000
slide2_152_19_x19400y4200,19400,4200,19200,4000
slide2_152_19_x20200y4200,20200,4200,20000,4000
slide2_152_19_x20600y4200,20600,4200,20400,4000
slide2_152_19_x21000y4200,21000,4200,20800,4000
slide2_152_19_x21400y4200,21400,4200,21200,4000
slide2_152_19_x21800y4200,21800,4200,21600,4000
slide2_152_19_x22200y4200,22200,4200,22000,4000
slide2_152_19_x22600y4200,22600,4200,22400,4000
slide2_152_19_x23000y4200,23000,4200,22800,4000
slide2_152_19_x23400y4200,23400,4200,23200,4000
slide2_152_19_x23800y4200,23800,4200,23600,4000
slide2_152_19_x24200y4200,24200,4200,24000,4000
slide2_152_19_x24600y4200,24600,4200,24400,4000
slide2_152_19_x25000y4200,25000,4200,24800,4000
slide2_152_19_x25400y4200,25400,4200,25200,4000
slide2_152_19_x174600y4200,174600,4200,174400,4000
slide2_152_19_x175000y4200,175000,4200,174800,4000
slide2_152_19_x219400y4200,219400,4200,219200,4000
slide2_152_19_x219800y4200,219800,4200,219600,4000
slide2_152_19_x220200y4200,220200,4200,220000,4000
slide2_152_19_x221000y4200,221000,4200,220800,4000
slide2_152_19_x200y4600,200,4600,0,4400
slide2_152_19_x600y4600,600,4600,400,4400
slide2_152_19_x1000y4600,1000,4600,800,4400
slide2_152_19_x1400y4600,1400,4600,1200,4400
slide2_152_19_x1800y4600,1800,4600,1600,4400
slide2_152_19_x2200y4600,2200,4600,2000,4400
slide2_152_19_x3400y4600,3400,4600,3200,4400
slide2_152_19_x3800y4600,3800,4600,3600,4400
slide2_152_19_x4200y4600,4200,4600,4000,4400
slide2_152_19_x5800y4600,5800,4600,5600,4400
slide2_152_19_x6200y4600,6200,4600,6000,4400
slide2_152_19_x6600y4600,6600,4600,6400,4400
slide2_152_19_x7000y4600,7000,4600,6800,4400
slide2_152_19_x7400y4600,7400,4600,7200,4400
slide2_152_19_x7800y4600,7800,4600,7600,4400
slide2_152_19_x8200y4600,8200,4600,8000,4400
slide2_152_19_x8600y4600,8600,4600,8400,4400
slide2_152_19_x9000y4600,9000,4600,8800,4400
slide2_152_19_x9400y4600,9400,4600,9200,4400
slide2_152_19_x11800y4600,11800,4600,11600,4400
