slide,cell_type,mean_abundance,std,frac_pos_over_0.1,rank_in_slide
4245-BS1,Endothelia_vascular_arterial_systemic,0.20320075750350952,0.20623472332954407,0.6330564784053156,15
4245-BS1,Endothelia_vascular_venous_pulmonary,0.05655823275446892,0.03562768176198006,0.1122923588039867,51
4245-BS1,Endothelia_vascular_venous_systemic,0.3177849054336548,0.2083030492067337,0.8808970099667774,9
4245-BS1,Erythrocyte,0.05176469311118126,0.03916554898023605,0.11179401993355481,54
4245-BS1,Fibro_adventitial,1.0096219778060913,0.606260359287262,0.9920265780730897,7
4245-BS1,Fibro_alveolar,0.12896579504013062,0.1935858428478241,0.3754152823920266,25
4245-BS1,Fibro_immune_recruiting,0.051390472799539566,0.034753188490867615,0.09717607973421927,55
4245-BS1,Fibro_myofibroblast,0.19860470294952393,0.17073622345924377,0.6938538205980066,16
4245-BS1,Fibro_peribronchial,0.03902898728847504,0.019308486953377724,0.005647840531561462,59
4245-BS1,Fibro_perichondrial,0.03870585933327675,0.03329731151461601,0.04950166112956811,60
4245-BS1,ILC,0.061030056327581406,0.03455421328544617,0.13687707641196012,47
4245-BS1,Ionocyte_n_Brush,0.12181632965803146,0.13580982387065887,0.3918604651162791,26
4245-BS1,MAIT,0.05675814673304558,0.037391260266304016,0.12524916943521594,50
4245-BS1,Macro_CHIT1,0.029077976942062378,0.04478197917342186,0.05880398671096346,68
4245-BS1,Macro_interstitial,0.016633858904242516,0.02043602615594864,0.007142857142857143,77
4245-BS1,Macro_AW_CX3CR1,0.018551724031567574,0.014548655599355698,0.0,75
4245-BS1,Macro_alveolar_metallothioneins,0.022883012890815735,0.015462993644177914,0.0,71
4245-BS1,Macro_alv,0.06079844757914543,0.0637279599905014,0.20066445182724252,48
4245-BS1,Macro_dividing,0.019400404766201973,0.021415850147604942,0.010132890365448505,72
4245-BS1,Macro_int,0.028398172929883003,0.025241956114768982,0.01478405315614618,69
4245-BS1,Macro_CCL,0.014540114440023899,0.013423786498606205,0.0004983388704318936,79
4245-BS1,Mast_cell,0.05624312534928322,0.03289235755801201,0.1009966777408638,52
4245-BS1,Megakaryocyte,0.02545311488211155,0.017973769456148148,0.00016611295681063124,70
