cell_type,gene,r,p,rank,direction,p_bh
Muscle_smooth_syst_arterial,ISYNA1,-0.7543268603041372,5.981324324721982e-10,1,neg,5.316732733086206e-08
Muscle_smooth_syst_arterial,GFPT1,-0.745172919121906,1.2442247232513637e-09,2,neg,6.902334390320796e-08
Muscle_smooth_syst_arterial,HSPH1,-0.7432692297764043,1.4433580997064155e-09,3,neg,6.902334390320796e-08
Muscle_smooth_syst_arterial,NUDCD1,-0.7331177622622198,3.1185083404494662e-09,4,neg,8.04776345922443e-08
Muscle_smooth_syst_arterial,FKBP4,-0.7247877473185348,5.720468987391314e-09,5,neg,1.0642732999797793e-07
Myoepithelial,CCDC88B,-0.6907270647883368,5.533796354484366e-08,1,neg,4.974198970323025e-07
Myoepithelial,CTDP1,-0.677650115086508,1.221145815577529e-07,2,neg,9.157718404986621e-07
Myoepithelial,PPP1R9B,-0.6498554158227651,5.790298678309824e-07,3,neg,3.536060261563251e-06
Myoepithelial,MPP1,-0.6331458814870571,1.3708223174369039e-06,4,neg,7.075211960964665e-06
Myoepithelial,SH3BP1,-0.6274528983774159,1.8175327021197063e-06,5,neg,8.975470133924474e-06
NAF_endoneurial,HSPH1,-0.6469223420896342,6.761524267151486e-07,1,neg,3.9773672159714625e-06
NAF_endoneurial,ISYNA1,-0.630769995738489,1.5431388820097425e-06,2,neg,7.81336142789743e-06
NAF_endoneurial,YBX3,-0.6118361134527831,3.8305628882184806e-06,3,neg,1.571512979781941e-05
NAF_endoneurial,PADI2,-0.6086974090709493,4.428484551510792e-06,4,neg,1.753855267925066e-05
NAF_endoneurial,FKBP4,-0.6084960529518936,4.469646960547635e-06,5,neg,1.7614372258315805e-05
NAF_perineurial,ISYNA1,-0.721237332253104,7.359744147450442e-09,1,neg,1.252722408076671e-07
NAF_perineurial,HSPH1,-0.7206011963301021,7.696508763643806e-09,2,neg,1.282751460607301e-07
NAF_perineurial,FKBP4,-0.7104550903799041,1.5460313251836055e-08,3,neg,1.932539156479507e-07
NAF_perineurial,PADI2,-0.6984483496414743,3.400495440786244e-08,4,neg,3.2775859670228863e-07
NAF_perineurial,KPNA2,-0.6937519552348657,4.5809163351506754e-08,5,neg,4.212336859908667e-07
NKT,BAZ1B,-0.5652567122077151,2.8393782555369285e-05,1,neg,7.70000882857472e-05
NKT,ITGB7,-0.5087277267976001,0.0002224396510102089,2,neg,0.00032418708593953937
NKT,NCOR1,-0.5084576936369497,0.00022444724656711657,3,neg,0.00032528586459002406
NKT,ZFYVE19,-0.45630048627712216,0.001115505367679459,4,neg,0.0012258300743730318
NKT,FEN1,-0.4381649731737879,0.0018405516767034946,5,neg,0.00190237899400878
NK_CD11d,BAZ1B,-0.6053787326363983,5.153815604508338e-06,1,neg,1.963358325526986e-05
NK_CD11d,LAP3,-0.5693256789437242,2.4123955898014415e-05,2,neg,6.892558828004118e-05
NK_CD11d,ITGB7,-0.5063504903263274,0.00024068704563684484,3,neg,0.00034507103317110374
NK_CD11d,ERC1,-0.4660287340959947,0.000842985360706594,4,neg,0.0009787928716477145
NK_CD11d,ZFYVE19,-0.45786867953092136,0.0010668471661576806,5,neg,0.0011886876503149645
NK_CD16hi,BAZ1B,-0.613507925276506,3.5434974521297846e-06,1,neg,1.491998927212541e-05
NK_CD16hi,ITGB7,-0.5283578674675362,0.00011340096408707367,2,neg,0.00019808028661497584
NK_CD16hi,LAP3,-0.4936416926387537,0.00036334224526313186,3,neg,0.0004910030341393674
NK_CD16hi,ZFYVE19,-0.46188123795564173,0.0009508716086754632,4,neg,0.0010774749106804116
NK_CD16hi,FEN1,-0.45679206744624573,0.0011000433068117932,5,neg,0.001217198679736424
NK_CD56bright,BAZ1B,-0.5850372885934242,1.2593970143415234e-05,1,neg,4.062571014004914e-05
NK_CD56bright,LAP3,-0.5552456657978865,4.2018756724715445e-05,2,neg,0.00010109155460230329
NK_CD56bright,ERC1,-0.5032853229400859,0.0002662153876273887,3,neg,0.00037363563175773855
NK_CD56bright,ITGB7,-0.44994806800949866,0.0013335307154829223,4,neg,0.0014300597485071554
NK_CD56bright,BCAT1,-0.4377461996021899,0.0018613627297452418,5,neg,0.001921406688769282
Neuroendocrine,LAP3,-0.7512642462859735,7.669065382742701e-10,1,neg,5.637488052136839e-08
Neuroendocrine,GBP1,-0.647195281846118,6.665123486460089e-07,2,neg,3.976907603889349e-06
Neuroendocrine,WARS1,-0.5951388175890527,8.14282670558164e-06,3,neg,2.7838723779766295e-05
Neuroendocrine,STAT1,-0.5401964946071001,7.40088481785417e-05,4,neg,0.00015298986703574512
Neuroendocrine,GALM,-0.5400374406605645,7.444228699493571e-05,5,neg,0.00015348925153594993
SMG_Basal,LAP3,-0.5877224858030857,1.1231542631051639e-05,1,neg,3.667442491771964e-05
SMG_Basal,YWHAH,-0.5405623713619477,7.302053682622933e-05,2,neg,0.00015173098561294406
SMG_Basal,BAZ1B,-0.4873578677354841,0.00044280628270065847,3,neg,0.000578831742092364
SMG_Basal,WARS1,-0.4713789506565063,0.000720069979442961,4,neg,0.000857226166003525
SMG_Basal,PEA15,-0.471075072455732,0.0007265943164926902,5,neg,0.0008624264884186234
SMG_Duct,CCDC88B,-0.743062114109387,1.466746057943169e-09,1,neg,6.902334390320796e-08
SMG_Duct,PLEK,-0.7172524605534267,9.721114357930105e-09,2,neg,1.4329699220588897e-07
SMG_Duct,NCKAP1L,-0.7118168841144805,1.4102903955759416e-08,3,neg,1.8197295426786343e-07
SMG_Duct,ITGAX,-0.7107154717270269,1.519164838370557e-08,4,neg,1.9290982074546754e-07
SMG_Duct,SH3BP1,-0.6994204500387012,3.194831599273584e-08,5,neg,3.1802258165723206e-07
SMG_Mucous,LAP3,-0.7259963998765058,5.24558085857052e-09,1,neg,1.023527972404004e-07
SMG_Mucous,TGFB1,-0.6437992703968253,7.960967567388622e-07,2,neg,4.54912432422207e-06
