A,B,R,z,p
B_memory,Endothelia_vascular_venous_systemic,0.4463637173175812,291.5470275878906,0.0
B_memory,Erythrocyte,0.764053225517273,499.0491638183594,0.0
B_memory,Fibro_adventitial,0.3211488127708435,209.76162719726562,0.0
B_memory,Fibro_alveolar,0.7171832919120789,468.4355773925781,0.0
B_memory,Fibro_immune_recruiting,0.45786285400390625,299.05780029296875,0.0
B_memory,Fibro_myofibroblast,0.32433006167411804,211.83949279785156,0.0
B_memory,Fibro_peribronchial,0.36953338980674744,241.364501953125,0.0
B_memory,Fibro_perichondrial,0.16493473947048187,107.72880554199219,0.0
B_memory,ILC,0.7294762134552002,476.46484375,0.0
B_memory,Ionocyte_n_Brush,-0.05018572509288788,-32.779319763183594,1.1607624654532907e-235
B_memory,MAIT,0.7612991333007812,497.25030517578125,0.0
B_memory,Macro_CHIT1,0.5697411894798279,372.13226318359375,0.0
B_memory,Macro_interstitial,0.7630235552787781,498.3766174316406,0.0
B_memory,Macro_AW_CX3CR1,0.6370198130607605,416.07598876953125,0.0
B_memory,Macro_alveolar_metallothioneins,0.7625726461410522,498.0821228027344,0.0
B_memory,Macro_alv,0.5267108082771301,344.02655029296875,0.0
B_memory,Macro_dividing,0.6203222870826721,405.1698303222656,0.0
B_memory,Macro_int,0.7574485540390015,494.7352600097656,0.0
B_memory,Macro_CCL,0.7630107402801514,498.3682556152344,0.0
B_memory,Mast_cell,0.7346422672271729,479.839111328125,0.0
B_memory,Megakaryocyte,0.42352768778800964,276.6314392089844,0.0
B_memory,Mesothelia,0.5282123684883118,345.0072937011719,0.0
B_memory,Macrophage_intermediate,0.7611403465270996,497.1465759277344,0.0
B_memory,Monocyte_CD14,0.7786279916763306,508.5688171386719,0.0
B_memory,Monocyte_CD16,0.7784591317176819,508.4585266113281,0.0
B_memory,Muscle_airway,0.10800957679748535,70.54755401611328,0.0
B_memory,Muscle_pericyte_airway,0.4738040864467621,309.469970703125,0.0
B_memory,Muscle_pericyte_parenchyma,0.6764320135116577,441.8184814453125,0.0
B_memory,Muscle_perivascular_immune_recruiting,0.49169763922691345,321.1573181152344,0.0
B_memory,Muscle_smooth_pulmonary,0.10335152596235275,67.5051040649414,0.0
B_memory,Muscle_smooth_syst_arterial,0.10459236800670624,68.3155746459961,0.0
B_memory,Myoepithelial,0.4391383230686188,286.8276672363281,0.0
B_memory,NAF_endoneurial,0.10676934570074081,69.73748779296875,0.0
B_memory,NAF_perineurial,0.10327126830816269,67.45268249511719,0.0
