cell_type,mean,median,max,fraction_nonzero
Suprabasal,0.07480315119028091,0.035485509783029556,2.375718116760254,0.7746433353340413
gdT,0.07236773520708084,0.044656846672296524,0.3942989408969879,0.9823168197977746
Chondrocyte,0.07227502763271332,0.05286947265267372,0.4696030020713806,0.776536312849162
Schwann_nonmyelinating,0.07064872235059738,0.04209762066602707,0.8434298038482666,0.7696107853548179
NK_CD16hi,0.07027231156826019,0.035506680607795715,0.4338991343975067,0.9429798236298998
CD4_TRM,0.06979813426733017,0.043595124036073685,0.35627424716949463,0.9891038367422319
T_reg,0.06872003525495529,0.041302453726530075,0.40398430824279785,0.9861027748280161
Macro_int,0.06705263257026672,0.033902451395988464,0.4419160485267639,0.8097326746387183
B_naive,0.06563792377710342,0.03758447617292404,0.3659926652908325,0.992058728473152
Endothelia_vascular_arterial_pulmonary,0.0654430165886879,0.04926445335149765,0.38606590032577515,0.8974098527171153
NK_CD11d,0.06342925131320953,0.029683973640203476,0.39224696159362793,0.9157394154854794
NK_CD56bright,0.061818335205316544,0.030191248282790184,0.41796717047691345,0.9203564338150423
ILC,0.058441970497369766,0.037081629037857056,0.30167660117149353,0.9852717115286947
Endothelia_Lymphatic,0.0571347214281559,0.049791041761636734,0.28126901388168335,0.9722055496560321
Endothelia_vascular_venous_pulmonary,0.05580664053559303,0.048936329782009125,0.25178566575050354,0.9828708619973221
Myoepithelial,0.05188334360718727,0.015551451593637466,0.6956638097763062,0.6997552980285332
Muscle_perivascular_immune_recruiting,0.05033530667424202,0.031047753989696503,0.32357457280158997,0.8957938963017683
DC_activated,0.05025225877761841,0.025081532076001167,0.3793628215789795,0.9250657925111962
Fibro_peribronchial,0.0496642142534256,0.04494234919548035,0.2600443363189697,0.9994459578004524
Monocyte_CD16,0.04894828051328659,0.028298718854784966,0.2958451509475708,0.9409021653815965
Macro_interstitial,0.04697661101818085,0.017004815861582756,0.427615225315094,0.7403388891453899
Dividing_Basal,0.046830277889966965,0.0,0.6124216914176941,0.47204395401449745
Macro_dividing,0.044888533651828766,0.017284363508224487,0.4684644639492035,0.7514197331363406
NAF_endoneurial,0.04262922704219818,0.030910592526197433,0.39952999353408813,0.9341151484371393
Fibro_immune_recruiting,0.04077916964888573,0.020055964589118958,0.31446224451065063,0.8772796528002216
DC_2,0.03560617193579674,0.012874320149421692,0.29831504821777344,0.7844314141927143
Macro_alveolar_metallothioneins,0.03358159214258194,0.023450592532753944,0.19293007254600525,0.877972205549656
DC_1,0.03250334784388542,0.015308918431401253,0.2410353124141693,0.8533634978530865
Mesothelia,0.03115321323275566,0.016871219500899315,0.22928699851036072,0.8886836880742417
Ionocyte_n_Brush,0.030079998075962067,0.01291674468666315,1.0415946245193481,0.7584837711805716
B_plasma_IgG,0.02915395423769951,0.0,0.5988192558288574,0.4484509903504317
Macro_CCL,0.028756042942404747,0.012735599651932716,0.2360040545463562,0.8521169029041046
DC_plasmacytoid,0.027421779930591583,0.015195444226264954,0.15804532170295715,0.9664804469273743
Schwann_Myelinating,0.02624840848147869,0.007382177282124758,0.3451584279537201,0.6274527909875802
SMG_Basal,0.025654537603259087,0.00927989836782217,0.35940608382225037,0.6160487557135602
Macrophage_intermediate,0.020827969536185265,0.011455751024186611,0.11999568343162537,0.904889422411007
Dividing_AT2,0.01933921128511429,0.011445999145507812,0.13278770446777344,0.8566877510503716
Macro_AW_CX3CR1,0.01851050741970539,0.00888796802610159,0.1313633769750595,0.9484740754420795
Fibro_perichondrial,0.018428683280944824,0.005510684102773666,0.22253191471099854,0.5658617664712129
Deuterosomal,0.014844384975731373,0.0,0.7626123428344727,0.3539406251442818
Neuroendocrine,0.014300670474767685,0.007483320310711861,0.11911486089229584,0.8801883743478461
Secretory_Club,0.013263757340610027,0.0,0.5914100408554077,0.48404820167136065
Megakaryocyte,0.009614336304366589,0.004050449002534151,0.07814405113458633,0.68775105037167
