tube_id,section,section_label,n_spots,top1,top1_group,top2,top2_group,top3,top3_group,top4,top4_group,top5,top5_group
b17,b,Low-risk Tumor,25,AT2 (2.46),Epithelial-alveolar,Fibro_adventitial (1.94),Stromal-fibroblast,Fibro_alveolar (1.69),Stromal-fibroblast,AT1 (1.63),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.31),Vascular
b18,b,Low-risk Tumor,25,AT2 (2.32),Epithelial-alveolar,Fibro_adventitial (2.14),Stromal-fibroblast,SMG_Duct (1.89),Epithelial-airway,Fibro_alveolar (1.83),Stromal-fibroblast,AT1 (1.68),Epithelial-alveolar
b19,b,Low-risk Tumor,28,SMG_Duct (2.51),Epithelial-airway,Fibro_adventitial (2.37),Stromal-fibroblast,Ciliated (1.86),Epithelial-airway,AT2 (1.80),Epithelial-alveolar,SMG_Serous (1.64),Epithelial-airway
b20,b,Low-risk Tumor,26,AT2 (2.54),Epithelial-alveolar,Fibro_adventitial (2.09),Stromal-fibroblast,SMG_Duct (1.87),Epithelial-airway,Fibro_alveolar (1.80),Stromal-fibroblast,AT1 (1.74),Epithelial-alveolar
b21,b,Low-risk Tumor,34,AT2 (2.72),Epithelial-alveolar,Fibro_alveolar (1.98),Stromal-fibroblast,AT1 (1.87),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.59),Vascular,SMG_Duct (1.29),Epithelial-airway
c1,c,High-risk T-cell,27,Fibro_adventitial (2.31),Stromal-fibroblast,AT2 (1.94),Epithelial-alveolar,Muscle_smooth_syst_arterial (1.68),Stromal-muscle,Ciliated (1.50),Epithelial-airway,Fibro_alveolar (1.34),Stromal-fibroblast
c2,c,High-risk T-cell,12,Ciliated (2.27),Epithelial-airway,AT2 (1.73),Epithelial-alveolar,Fibro_adventitial (1.52),Stromal-fibroblast,Fibro_alveolar (1.27),Stromal-fibroblast,AT1 (1.22),Epithelial-alveolar
c3,c,High-risk T-cell,15,Ciliated (3.38),Epithelial-airway,AT2 (1.68),Epithelial-alveolar,Fibro_alveolar (1.19),Stromal-fibroblast,Endothelia_vascular_Cap_a (1.13),Vascular,AT1 (1.12),Epithelial-alveolar
c4,c,High-risk T-cell,15,Ciliated (3.38),Epithelial-airway,AT2 (2.06),Epithelial-alveolar,Fibro_alveolar (1.73),Stromal-fibroblast,AT1 (1.57),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.41),Vascular
c5,c,High-risk T-cell,24,AT2 (2.71),Epithelial-alveolar,Fibro_alveolar (2.18),Stromal-fibroblast,AT1 (2.08),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.76),Vascular,Fibro_adventitial (1.26),Stromal-fibroblast
d1,d,Low-risk T-cell,25,AT2 (2.68),Epithelial-alveolar,Fibro_alveolar (2.02),Stromal-fibroblast,AT1 (1.85),Epithelial-alveolar,Ciliated (1.56),Epithelial-airway,Endothelia_vascular_Cap_a (1.51),Vascular
d2,d,Low-risk T-cell,30,AT2 (2.52),Epithelial-alveolar,Fibro_alveolar (1.98),Stromal-fibroblast,AT1 (1.82),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.54),Vascular,SMG_Duct (1.29),Epithelial-airway
d3,d,Low-risk T-cell,25,AT2 (2.08),Epithelial-alveolar,Fibro_alveolar (1.81),Stromal-fibroblast,AT1 (1.53),Epithelial-alveolar,Fibro_adventitial (1.49),Stromal-fibroblast,Endothelia_vascular_Cap_a (1.30),Vascular
d4,d,Low-risk T-cell,40,AT2 (2.78),Epithelial-alveolar,Ciliated (2.05),Epithelial-airway,Fibro_alveolar (2.01),Stromal-fibroblast,Fibro_adventitial (1.97),Stromal-fibroblast,AT1 (1.93),Epithelial-alveolar
d5,d,Low-risk T-cell,34,AT2 (2.35),Epithelial-alveolar,Fibro_alveolar (1.83),Stromal-fibroblast,AT1 (1.66),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.45),Vascular,Fibro_adventitial (1.07),Stromal-fibroblast
d6,d,Low-risk T-cell,24,Ciliated (2.65),Epithelial-airway,AT2 (2.12),Epithelial-alveolar,Fibro_alveolar (1.70),Stromal-fibroblast,AT1 (1.54),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.38),Vascular
d7,d,Low-risk T-cell,40,AT2 (2.61),Epithelial-alveolar,Fibro_alveolar (2.00),Stromal-fibroblast,AT1 (1.96),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.62),Vascular,Fibro_adventitial (1.58),Stromal-fibroblast
d8,d,Low-risk T-cell,29,AT2 (2.21),Epithelial-alveolar,Fibro_alveolar (1.77),Stromal-fibroblast,AT1 (1.65),Epithelial-alveolar,Endothelia_vascular_Cap_a (1.42),Vascular,Fibro_adventitial (1.26),Stromal-fibroblast
d9,d,Low-risk T-cell,30,AT2 (2.78),Epithelial-alveolar,Fibro_alveolar (2.24),Stromal-fibroblast,AT1 (2.15),Epithelial-alveolar,Muscle_smooth_syst_arterial (1.79),Stromal-muscle,Endothelia_vascular_Cap_a (1.70),Vascular
t1,t,Middle-risk Tumor (ctrl),21,AT2 (3.51),Epithelial-alveolar,Ciliated (3.03),Epithelial-airway,Fibro_alveolar (2.92),Stromal-fibroblast,AT1 (2.77),Epithelial-alveolar,Endothelia_vascular_Cap_a (2.17),Vascular
t2,t,Middle-risk Tumor (ctrl),23,AT2 (2.59),Epithelial-alveolar,Fibro_alveolar (1.90),Stromal-fibroblast,AT1 (1.86),Epithelial-alveolar,Ciliated (1.79),Epithelial-airway,Fibro_adventitial (1.77),Stromal-fibroblast
t3,t,Middle-risk Tumor (ctrl),23,AT2 (2.33),Epithelial-alveolar,Fibro_adventitial (1.77),Stromal-fibroblast,AT1 (1.61),Epithelial-alveolar,SMG_Duct (1.59),Epithelial-airway,Fibro_alveolar (1.59),Stromal-fibroblast
