gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
CASP8,4,9,14.620958774139126,14.275424111735715,0.345534662403411,22.0,0.6041958041958042,0.8427547811531384
FN3KRP,4,9,16.57102171088941,16.63696835379499,-0.06594664290557972,14.0,0.6041958041958042,0.8427547811531384
NCDN,4,9,13.162284954420077,13.277266899347795,-0.11498194492771852,14.0,0.6041958041958042,0.8427547811531384
SEC61A1,8,18,18.12581765532344,18.21026603913029,-0.08444838380684772,62.0,0.6049191083516027,0.8435162346662378
MCCC1,5,9,15.85495363416766,15.749954276234096,0.10499935793356485,27.0,0.6063936063936064,0.8438400931816208
TJP3,5,9,14.35591736414683,14.580179430865106,-0.22426206671827664,18.0,0.6063936063936064,0.8438400931816208
DHX29,5,9,13.80878489606447,13.865430475379274,-0.05664557931480374,18.0,0.6063936063936064,0.8438400931816208
LYSMD2,5,9,14.193700179803093,14.204770424395493,-0.011070244592399803,18.0,0.6063936063936064,0.8438400931816208
DOP1B,5,9,15.983803410306479,16.11211011937275,-0.12830670906627262,18.0,0.6063936063936064,0.8438400931816208
PARS2,5,9,12.873919104357636,12.958413754604786,-0.08449465024714975,18.0,0.6063936063936064,0.8438400931816208
PHF8,5,9,17.309793749901406,17.129211702936516,0.18058204696489,27.0,0.6063936063936064,0.8438400931816208
INTS13,6,9,12.743600454107927,12.600421059985464,0.1431793941224626,32.0,0.606993006993007,0.8440898254780788
PEX6,6,9,14.59807291123468,14.764598668920208,-0.1665257576855268,22.0,0.606993006993007,0.8440898254780788
CTNNB1,7,20,20.456440482058618,20.460457491921325,-0.004017009862707255,60.0,0.607105615801268,0.8440898254780788
GRB2,6,17,19.3921427023259,19.545789046226005,-0.15364634390010679,43.0,0.608794714057872,0.8461908404984454
TTLL12,7,19,19.852975309761792,19.88890301100274,-0.03592770124094713,57.0,0.6108452417148068,0.848792847561048
RNH1,7,18,21.58729169886292,21.555134717839355,0.03215698102356512,72.0,0.6149407114624506,0.8493992073346737
PHGDH,7,18,19.497455961284697,19.574513967214234,-0.07705800592953693,54.0,0.6149407114624506,0.8493992073346737
BSG,7,18,19.35799119906657,19.321378399911534,0.03661279915503712,72.0,0.6149407114624506,0.8493992073346737
RAB7A,8,21,21.47133919034925,21.503075569272017,-0.031736378922765596,73.0,0.6153408144412643,0.8493992073346737
A2ML1,8,21,20.953248747052463,21.27699969858027,-0.3237509515278063,73.0,0.6153408144412643,0.8493992073346737
HNRNPM,8,21,22.6434240894012,22.72454523491912,-0.08112114551791905,73.0,0.6153408144412643,0.8493992073346737
RPS21,8,21,20.658508056336387,20.673092700741034,-0.014584644404646241,73.0,0.6153408144412643,0.8493992073346737
FABP5,8,21,22.034697571413858,22.303974636451567,-0.2692770650377092,73.0,0.6153408144412643,0.8493992073346737
IMPA2,8,21,19.256069180991723,18.996152860835718,0.2599163201560053,95.0,0.6153408144412643,0.8493992073346737
SERPINB12,8,21,23.001045551742806,22.737415922847774,0.26362962889503194,95.0,0.6153408144412643,0.8493992073346737
