gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
CERT1,3,8,13.732955779276674,13.491280861567084,0.24167491770958982,15.0,0.6303030303030304,1.0
GATAD2B,3,8,15.093041708555495,15.000394921302163,0.0926467872533312,15.0,0.6303030303030304,1.0
TTC1,3,8,14.997708603812415,15.364585090347695,-0.36687648653528093,9.0,0.6303030303030304,1.0
MYO5A,3,8,16.51599557951062,16.595944447045596,-0.0799488675349771,9.0,0.6303030303030304,1.0
MMS19,3,8,17.67340130580027,17.55552021106597,0.11788109473429742,15.0,0.6303030303030304,1.0
RASAL1,3,8,13.727650202112983,13.280930436615911,0.4467197654970718,15.0,0.6303030303030304,1.0
ATP6AP2,3,8,15.655100888400957,15.432199645817459,0.22290124258349842,15.0,0.6303030303030304,1.0
PAPSS2,3,8,13.804640291926995,14.055269222007986,-0.25062893008099074,9.0,0.6303030303030304,1.0
COG6,3,8,14.733220424273336,14.628536586920296,0.10468383735303988,15.0,0.6303030303030304,1.0
ELF1,3,8,12.311359204710719,12.370266779358184,-0.05890757464746521,9.0,0.6303030303030304,1.0
FIBP,3,8,13.449062554703316,13.733581864922225,-0.28451931021890964,9.0,0.6303030303030304,1.0
MRPL43,3,8,15.457010632300518,15.613537152146726,-0.15652651984620825,9.0,0.6303030303030304,1.0
SRGAP2,3,8,14.086118252622668,14.321051044472608,-0.2349327918499391,9.0,0.6303030303030304,1.0
PEX11B,3,8,15.36215418201536,15.071426214128158,0.2907279678872019,15.0,0.6303030303030304,1.0
COG5,3,8,14.73764256139638,14.73774133845647,-9.877706009042697e-05,9.0,0.6303030303030304,1.0
PIN4,3,8,14.71520013489041,14.921645589039285,-0.20644545414887538,9.0,0.6303030303030304,1.0
HTATIP2,3,8,15.393252623463253,15.511789868618882,-0.11853724515562902,9.0,0.6303030303030304,1.0
LARP7,3,8,13.892967781920754,13.636768196902679,0.2561995850180754,15.0,0.6303030303030304,1.0
XPOT,3,8,13.64893297145258,13.855735745520937,-0.2068027740683558,9.0,0.6303030303030304,1.0
CD109,3,8,13.36274975435085,12.998641320043689,0.3641084343071608,15.0,0.6303030303030304,1.0
SLC27A3,3,8,14.873228527290166,14.688536109350748,0.18469241793941826,15.0,0.6303030303030304,1.0
MAPK1IP1L,3,8,14.583078201339454,14.339233594549357,0.24384460679009656,15.0,0.6303030303030304,1.0
ASH2L,3,8,13.81838924242332,13.963467561251214,-0.14507831882789368,9.0,0.6303030303030304,1.0
FKBP5,3,8,15.913569814579077,16.075963634855114,-0.1623938202760371,9.0,0.6303030303030304,1.0
NEK7,3,8,16.022497227733904,16.20233217053483,-0.1798349428009267,9.0,0.6303030303030304,1.0
PPAT,3,8,15.971037890054319,15.85303209601639,0.11800579403792888,15.0,0.6303030303030304,1.0
DDX54,3,8,15.870022961226946,15.578959786826271,0.29106317440067464,15.0,0.6303030303030304,1.0
CD53,3,8,15.830396061560862,15.901102379558008,-0.07070631799714633,15.0,0.6303030303030304,1.0
HCK,3,8,17.041073996860863,16.500079056623754,0.540994940237109,15.0,0.6303030303030304,1.0
IFI44L,3,8,16.133645922926856,16.12217330205378,0.011472620873075101,15.0,0.6303030303030304,1.0
ALG1,3,8,12.753269942178129,13.007028458032082,-0.2537585158539528,9.0,0.6303030303030304,1.0
STX5,3,8,13.860309664007707,13.729454134336649,0.13085552967105762,15.0,0.6303030303030304,1.0
FCHO1,3,8,12.646029587988428,12.27432970835639,0.3716998796320379,15.0,0.6303030303030304,1.0
BANK1,3,8,16.24303681531924,16.004470989320964,0.23856582599827547,15.0,0.6303030303030304,1.0
PAK1,3,8,14.803298962997706,14.95591659079541,-0.15261762779770294,9.0,0.6303030303030304,1.0
CD248,3,8,17.365796902859312,16.8214976177954,0.5442992850639108,15.0,0.6303030303030304,1.0
