cell_type,mean,median,max,fraction_nonzero
Suprabasal,0.05774367228150368,0.02881307154893875,2.375718116760254,0.8632087323078641
gdT,0.054311010986566544,0.028858983889222145,0.3942989408969879,0.9893079478518187
NK_CD16hi,0.05333150178194046,0.02827649563550949,0.4338991343975067,0.965523017224533
T_reg,0.05280640348792076,0.02999010495841503,0.40398430824279785,0.9915971078417688
CD4_TRM,0.05275330692529678,0.028578290715813637,0.35627424716949463,0.9934116858825829
B_naive,0.0509534552693367,0.02956210821866989,0.3659926652908325,0.9951983473381536
Endothelia_vascular_arterial_systemic,0.05089453607797623,0.0,0.8388487100601196,0.4444599536584685
NK_CD56bright,0.048756103962659836,0.028996750712394714,0.41796717047691345,0.9518438904553195
Macro_int,0.04857296869158745,0.021810870617628098,0.4419160485267639,0.8845090868484967
NK_CD11d,0.04854672774672508,0.026243330910801888,0.39224696159362793,0.9490522319309902
Muscle_pericyte_airway,0.04746444895863533,0.01078581903129816,0.4122903048992157,0.9741213254794674
Endothelia_vascular_arterial_pulmonary,0.04639723524451256,0.02256939932703972,0.38606590032577515,0.9341447754110718
Chondrocyte,0.04405384138226509,0.0021859966218471527,0.4696030020713806,0.5344630244828452
ILC,0.04400646686553955,0.023641739040613174,0.30167660117149353,0.9910946093073896
Endothelia_vascular_venous_pulmonary,0.039499346166849136,0.017971854656934738,0.25178566575050354,0.9896429468747383
Endothelia_Lymphatic,0.03826260566711426,0.011678599752485752,0.28126901388168335,0.9829708830015913
NAF_endoneurial,0.03805822879076004,0.03133195638656616,0.39952999353408813,0.9598559504201446
DC_activated,0.037839584052562714,0.01975220814347267,0.3793628215789795,0.9544680494681891
Myoepithelial,0.03681274875998497,0.014142418280243874,0.6956638097763062,0.8158901203204824
Monocyte_CD16,0.034793671220541,0.014977744780480862,0.2958451509475708,0.9641551045476118
Fibro_peribronchial,0.03398510813713074,0.01754600554704666,0.2600443363189697,0.9996370843918372
Macro_interstitial,0.032969798892736435,0.012183543294668198,0.427615225315094,0.8374417241283046
Muscle_perivascular_immune_recruiting,0.03294070437550545,0.007864383049309254,0.32357457280158997,0.9368247675944279
Macro_dividing,0.032925453037023544,0.015327002853155136,0.4684644639492035,0.8397308841182547
Deuterosomal,0.02911481074988842,0.02374131977558136,0.7626123428344727,0.6086932246447615
Dividing_Basal,0.02832050248980522,0.0,0.6124216914176941,0.2857541665503476
Fibro_immune_recruiting,0.02653447724878788,0.005679639056324959,0.31446224451065063,0.925602300326624
Schwann_Myelinating,0.025250565260648727,0.02148624137043953,0.3451584279537201,0.7738198263588398
DC_2,0.025187872350215912,0.00979109387844801,0.29831504821777344,0.8667541386337623
DC_1,0.023634398356080055,0.010929044336080551,0.2410353124141693,0.9097456799084336
Ionocyte_n_Brush,0.022924071177840233,0.012108026072382927,1.0415946245193481,0.8526562630858994
Macro_alveolar_metallothioneins,0.022654294967651367,0.0074617862701416016,0.19293007254600525,0.923983138382513
Mesothelia,0.02139725722372532,0.007216467522084713,0.22928699851036072,0.9323301973702577
DC_plasmacytoid,0.020984601229429245,0.011630668304860592,0.15804532170295715,0.9797325591133692
Macro_CCL,0.02093176543712616,0.00946170836687088,0.2360040545463562,0.9098015130789202
B_plasma_IgG,0.02043461613357067,0.00345988804474473,0.5988192558288574,0.5797437257474666
SMG_Basal,0.015531322918832302,0.0,0.35940608382225037,0.3747243237207225
Macrophage_intermediate,0.014722583815455437,0.006035896018147469,0.11999568343162537,0.9422964183021133
Fibro_perichondrial,0.012731996364891529,0.0,0.22253191471099854,0.4880656598084922
Macro_AW_CX3CR1,0.012555467896163464,0.004276598338037729,0.1313633769750595,0.96770051087351
Dividing_AT2,0.012310182675719261,0.0029078894294798374,0.13278770446777344,0.8507021021188689
Neuroendocrine,0.010242701508104801,0.0044426447711884975,0.11911486089229584,0.9274447949526814
Secretory_Club,0.008796199224889278,0.0013935728929936886,0.5914100408554077,0.5959353451885765
Megakaryocyte,0.0068045067600905895,0.0027012815698981285,0.07814405113458633,0.7960135116272578
