tube_id,section,H2C_canon1,P_canon1,H2C_canon2,P_canon2,H2C_canon3,P_canon3
b9,b,0.3776936005776305,0.5079356292374846,-0.7176439187219523,-1.178061534824286,-0.6793473735751253,-0.5013460687064042
b10,b,0.18989332059581032,0.26413118264102986,-1.1949557085242715,-1.112814189222943,-0.1600339158778845,-1.242296354895886
b11,b,0.5480844163306403,0.552998059431105,-0.9985495828651835,-0.8153066434862488,-1.0096906834021158,-0.34070978817191433
b12,b,0.4348705674348843,0.541289563231559,-0.588793555867515,-1.1420298682409062,-0.7079385904474542,-0.7507989004002379
b13,b,-0.18359116633253766,0.5124539392193479,-1.4771285886006111,-0.4989535051192139,-0.20705510300113006,-0.45803964708771494
b14,b,0.9440688314939106,0.9490387420470118,0.3275247904270488,0.4044702840572888,1.1410105825131651,2.693626066494207
b15,b,-0.14432051033825613,-0.23188034736208216,-0.7281433157882505,-0.828593754212257,0.35004973557571756,-0.3422002064618175
b16,b,0.9099373441445757,0.7364381954029448,-0.41467623032006357,-0.2439660997736278,0.8022632511984569,0.8607186767081929
b17,b,-0.19460106105455446,-0.2277365792672824,-1.4335705472473463,-1.362102983542208,-0.7721150320427161,-0.7868143850972431
b18,b,0.830856555513926,1.0814742379550082,0.15688956523484604,-0.11914602631772363,1.5637396418932314,1.671935104887019
b19,b,0.885504663744826,0.47886033438547293,0.060046298981344275,-0.46085968657389287,2.362451488510968,1.6476744050670813
b20,b,0.6114363723369381,0.7675484165522134,-0.18675365736478874,0.1867126751803848,0.8808262500049202,1.5024441704408094
b21,b,-0.6429500070686646,-0.49687315454069714,-1.1602572563673228,-0.9906926989799372,-0.7723791928914437,0.06956818825263164
c1,c,-1.2333246401121531,-1.7940383910459228,-0.5997726561156538,-0.4585046540200982,-0.6160170179679483,-0.7581504453470125
c2,c,-2.1941075249290725,-1.0945104632129592,-0.08769899690197591,-0.2650429470572288,0.46812752292781684,-0.07910018935900869
c3,c,-1.4902581343132653,-1.77633876657708,1.5991641116089526,1.3486942261356158,1.1169492552660778,0.40505186405757587
c4,c,-2.477183866813392,-1.9367752377817011,2.102048042519259,1.5368371917244463,1.2278226960421543,1.4820811321419485
c5,c,-1.2343278183360584,-1.1487486171069161,-0.7462385431758363,-0.46433524757396666,-0.8709137681599327,-1.228730481350025
d1,d,-1.2179992928958272,-1.3528732904506018,0.3692649096405264,0.4209386493824912,-0.1477217582621053,0.3519255144866551
d2,d,-1.1268518279266817,-1.7690368432727737,-0.14292382750109242,0.6224171233815489,0.5773092039319738,0.0753426795112103
d3,d,-1.1888234564098306,-1.2024825464512938,0.18073131525402428,0.9700498512953124,0.6564400447177995,0.653700948931657
d4,d,0.8302513445261477,0.23119991681856533,0.2886939001450034,-0.4702777029133494,0.6405218321839347,-0.286827369285116
d5,d,-0.8694234648566623,-1.0869379117924731,-0.5666649051073173,-0.6455444075062078,-0.5279287733050112,-0.7443591628553571
d6,d,-1.5730628083220037,-1.6954784648268713,1.4071408398773806,0.9461365317659101,0.3233944466030433,0.152634384185146
d7,d,-1.1188950971968183,-1.1397374983426594,-0.6005748733808088,-0.42302002521369914,-0.9297435722111181,-0.3086934656042623
d8,d,-1.2650131124087713,-1.0870922326018593,-0.43730855504934174,-0.010567315637586087,-0.16440406653984196,0.5399727522842778
