,feature_type,axis1,axis2,axis3
APEX1,gene,-0.018947275677070118,0.020670957758084627,0.016829113718840542
API5,gene,-0.01221177690335208,0.014357525946304522,0.0024696552094148616
APIP,gene,-0.004049283595274275,-0.004670872870092919,0.0016685654749183647
APMAP,gene,0.007724769547361772,-0.002082539329077207,0.012839674709488425
APOA1,gene,-0.013945625369300801,0.015172823087155753,-0.029541527428138366
APOA2,gene,-0.009420905237134451,0.015104945074374895,-0.036397480115775115
APOA4,gene,-0.017583223978248973,0.023819869890769944,-0.029603537019677547
APOB,gene,-0.02015546179432133,0.019029987391937394,-0.0301983000218247
APOBEC3F,gene,-0.014200933184965773,0.020413224051604312,-0.01767445910797448
APOBEC3G,gene,-0.028057283483535755,-0.002350262685486361,-0.014452329724340839
APOBR,gene,-0.010954365124503518,-0.007184562042024882,-0.03168012470660768
APOD,gene,0.004738636095760803,0.0017661874500912124,0.008275422436265577
APOE,gene,-0.017417365584719548,0.006035670914650238,-0.033981272411937
APOH,gene,-0.01487735755029573,0.024510639007308734,-0.03166922068424676
APOL1,gene,-0.014046948464200409,0.01761888609455371,-0.02319692928138812
APOL2,gene,-0.013132476914540983,-0.008040300896357242,-0.04259615094088025
APOL3,gene,-0.020973642494668748,-0.011249401902644188,-0.01650810563325215
APOO,gene,0.004831645855420762,0.0030022345547466808,0.027993165562045015
APP,gene,0.03552471585853452,0.01357046115907457,-0.03725543818752271
APPL1,gene,-0.02375632909149065,-0.009916647758507244,-0.011716085173244125
APPL2,gene,-0.00634503639186476,0.0046502378810362914,-0.018611926501873367
APRT,gene,0.002129960630035925,-0.023289161714357687,0.010457792767430677
AQP5,gene,0.002059645542205815,0.004722373171232792,-0.011247177222186761
AQR,gene,0.004471403013164924,-0.018860684964684828,-0.006674141758437853
ARAF,gene,-0.020313056931703377,0.011030041230194625,0.0017176230159925594
ARAP1,gene,-0.02572093477497364,-0.009954887980050389,-0.02261082102137294
ARCN1,gene,-0.004323396609004061,-0.004423024563109246,-0.0153547244124948
ARF1,gene,0.018294921802122797,-0.014012994430596134,-0.006235385472851062
ARF4,gene,0.017023959600002768,-0.021061770219675043,-0.021263776520215865
ARF5,gene,0.010050008309100132,-0.02680962108507398,-0.012717140792857413
ARF6,gene,-0.017488220450590914,-0.007269970376701276,-0.009024414358596524
ARFGAP1,gene,0.016712563988004445,-0.021570202943334258,-0.008288134536437132
ARFGAP2,gene,-0.0010855702430263776,0.015192601102392869,-0.003957242540293328
ARFGAP3,gene,0.003770099257881754,0.015404743070537833,0.006183939480049644
ARFGEF1,gene,0.005526883152456271,0.0019429312012224714,0.007849780251594333
ARFGEF2,gene,-0.0050676024279054524,-0.024655931904476014,0.009202049975324332
ARFIP1,gene,0.011577000003779406,-0.011465594937415065,0.0019258069328359519
ARG1,gene,0.007865722995005375,0.004754194811166147,-0.0009723087599252376
ARGLU1,gene,0.012656801459515836,0.010840836203863058,-0.01688276616567399
ARHGAP1,gene,-0.017317588601882688,0.003047385331309575,-0.031298649055509185
ARHGAP17,gene,-0.03357273429608706,0.007370460288821491,-0.0043263665400613315
ARHGAP18,gene,-0.0044304258050518,-0.008004358542569161,-0.039449717791062586
ARHGAP21,gene,0.017474507699096236,0.008867629686221736,0.007980953593569042
ARHGAP25,gene,-0.03397149620612576,-0.004225509933078161,-0.0014451968979434728
ARHGAP27,gene,-0.030462423657525137,-0.01323546031177288,-0.0010291489380203993
ARHGAP4,gene,-0.03423541146156902,-0.00644617182613543,-0.004134264610766335
ARHGAP45,gene,-0.03362600228092308,-0.003421783946335416,-0.00023700094290818826
ARHGDIA,gene,-0.010980263966116474,-0.011592459188088407,-0.010442396668755294
ARHGDIB,gene,-0.032718420532787645,-0.015553997317968235,-0.0047118902353414155
ARHGEF1,gene,-0.03757403469305744,-0.0039187879883077455,0.009717427504599072
ARHGEF11,gene,0.014500219116991257,-0.013553981963967447,-0.0022281724249630366
ARHGEF2,gene,-0.002374411996977924,-0.007222070866637365,-0.004390996587091127
ARHGEF40,gene,0.004884066299710674,0.013040715037312288,0.0032539251539430774
ARHGEF6,gene,-0.03166275399882406,-0.00525888671544909,0.004836156664829616
