,feature_type,axis1,axis2,axis3
AKR1A1,gene,-0.012175473390936225,0.009840937563805626,-0.0268711433215552
AKR1B1,gene,-0.02523439034791084,-0.010900563067866718,-0.009769153549859386
AKR1C3,gene,-0.016667661820153307,0.00387512831313331,-0.006149476002885837
AKR7A2,gene,-0.020524023044324505,-0.0001799877589255668,0.018784736619577195
AKT2,gene,-0.0064887989338883335,-0.020748933409039102,0.0047780935092580626
ALAD,gene,-0.008915932035433984,0.008576310129441682,0.010347403798188388
ALB,gene,-0.010950035528893443,0.018502443448518088,-0.01703045248494686
ALDH16A1,gene,-0.025496491643842472,0.0012529264349513834,-0.004019834199313567
ALDH18A1,gene,0.028621334429466103,0.014637548037982336,-0.00915998745469185
ALDH1A1,gene,-0.019381164981739533,-0.005403383601423279,-0.030854413231066486
ALDH1A3,gene,0.00886737615739401,-0.005452121631009911,0.00312402719033867
ALDH1B1,gene,-0.0011104982737480962,0.0476262735710371,-0.016361714986932407
ALDH1L2,gene,-0.007542881674480476,-0.016452443979317527,-0.024762659182338737
ALDH2,gene,-0.013574329170560966,-0.012128737666320862,-0.025861825777726593
ALDH3A1,gene,0.00016744412245014667,-0.0020631243986366106,-0.0008410925774686084
ALDH3A2,gene,0.00461280516719989,0.0029042773822746996,0.00028609888255666716
ALDH4A1,gene,0.01393122900395614,-0.0006589104114866259,-0.007653122264440895
ALDH5A1,gene,-0.003176242452891171,0.02626403258720924,0.02522187596879613
ALDH6A1,gene,-0.025735236002397965,-0.01486965246700298,0.05346250002864248
ALDH7A1,gene,0.028120859368988768,0.007019916148502196,0.0053397003808203615
ALDH9A1,gene,-0.01087339635906337,-0.02021358558233653,0.01921083001711594
ALDOA,gene,0.029307881685863818,0.02727987869700827,-0.022690242276830145
ALDOC,gene,-0.004359817725701534,0.01598627343025883,0.008190256008001244
ALG1,gene,-0.01585104106062248,-0.005979544756627425,-0.007851964438430448
ALG11,gene,-0.005174669317244496,0.015096220831425066,0.0045837106272163895
ALG2,gene,-0.007539984314215364,-0.007389143297341586,-0.011884594622723293
ALG5,gene,-0.013912375751166536,-0.006282142854009307,-0.02054708774327014
ALKBH5,gene,-0.009092741080224783,-0.0042780041339868045,0.023862142304649617
ALOX12B,gene,-0.0014916690502075715,0.008201685547409103,-0.002890268218498492
ALOX5,gene,-0.03263776898062852,-0.0064124164913462265,-0.014043685701314245
ALOX5AP,gene,-0.018648563908356706,-0.014687888814506807,-0.02801328281113277
ALOXE3,gene,-0.008337090037985176,0.00689518021281437,0.0035299153878527575
ALYREF,gene,0.014195786707885984,0.02082150256486437,0.017916810163389654
AMBP,gene,-0.01811322612468828,0.026748296912610794,-0.021061707701999575
AMDHD2,gene,-0.01718263852118005,-0.014875271818520403,-0.012766215441608641
AMPD2,gene,0.01041820201013177,0.0035074179572798353,-0.018562920280092515
AMPD3,gene,-0.02703074403486595,-0.00696589583734843,-0.011814860214985831
AMY1A;AMY1B;AMY1C,gene,0.0030646582333280397,0.007954138341273002,0.004770427278579375
ANAPC1,gene,0.01038365423987588,-0.002397575411913436,-0.014920718246884951
ANAPC7,gene,0.010166084974581819,0.007616608964688842,-0.026149384808717056
ANK3,gene,0.006903167212648412,0.01942481966927627,0.028143374745353677
ANKFY1,gene,-0.023305158044591663,-0.014252271084283157,-0.007645021587115008
ANKHD1,gene,0.005950177622952738,-0.0043352683151850905,-0.008463219080277171
ANKRD13A,gene,-0.033231372951183114,-0.001099957890766657,0.004600042036283396
ANKRD17,gene,0.015747423558508507,-0.004685251052939948,-0.00845044703693971
ANKS1A,gene,0.0010923284143978802,-0.03183771709663564,0.014282696872558244
