tube_id,section,section_label,n_spots,top1,top1_group,top2,top2_group,top3,top3_group,top4,top4_group,top5,top5_group
f2,f,Low-risk Tumor,30,AT2 (1.84),Epithelial-alveolar,Ciliated (1.49),Epithelial-airway,SMG_Duct (1.47),Epithelial-airway,Fibro_alveolar (1.46),Stromal-fibroblast,SMG_Serous (1.40),Epithelial-airway
f3,f,Low-risk Tumor,25,AT2 (1.72),Epithelial-alveolar,SMG_Duct (1.61),Epithelial-airway,SMG_Serous (1.52),Epithelial-airway,Fibro_alveolar (1.13),Stromal-fibroblast,Ciliated (1.10),Epithelial-airway
f4,f,Low-risk Tumor,25,Fibro_adventitial (1.36),Stromal-fibroblast,SMG_Serous (1.16),Epithelial-airway,SMG_Duct (1.15),Epithelial-airway,AT2 (1.09),Epithelial-alveolar,Ciliated (0.90),Epithelial-airway
f5,f,Low-risk Tumor,25,AT2 (1.32),Epithelial-alveolar,Fibro_adventitial (1.28),Stromal-fibroblast,Ciliated (1.10),Epithelial-airway,SMG_Duct (1.00),Epithelial-airway,SMG_Serous (0.93),Epithelial-airway
f6,f,Low-risk Tumor,27,AT2 (1.23),Epithelial-alveolar,Fibro_adventitial (1.22),Stromal-fibroblast,Ciliated (1.06),Epithelial-airway,Fibro_alveolar (0.94),Stromal-fibroblast,Muscle_smooth_syst_arterial (0.85),Stromal-muscle
f7,f,Low-risk Tumor,25,AT2 (1.26),Epithelial-alveolar,Fibro_adventitial (1.06),Stromal-fibroblast,SMG_Serous (0.99),Epithelial-airway,SMG_Duct (0.99),Epithelial-airway,Ciliated (0.98),Epithelial-airway
f8,f,Low-risk Tumor,25,SMG_Duct (1.47),Epithelial-airway,SMG_Serous (1.26),Epithelial-airway,Fibro_adventitial (1.20),Stromal-fibroblast,Ciliated (1.00),Epithelial-airway,AT2 (0.86),Epithelial-alveolar
f9,f,Low-risk Tumor,24,Fibro_adventitial (1.33),Stromal-fibroblast,SMG_Duct (0.97),Epithelial-airway,SMG_Serous (0.81),Epithelial-airway,AT2 (0.78),Epithelial-alveolar,Muscle_smooth_syst_arterial (0.61),Stromal-muscle
f10,f,Low-risk Tumor,16,Fibro_adventitial (1.26),Stromal-fibroblast,AT2 (1.11),Epithelial-alveolar,SMG_Duct (1.10),Epithelial-airway,SMG_Serous (0.88),Epithelial-airway,Fibro_alveolar (0.81),Stromal-fibroblast
f11,f,Low-risk Tumor,16,Fibro_adventitial (1.64),Stromal-fibroblast,SMG_Duct (1.10),Epithelial-airway,Muscle_smooth_syst_arterial (0.89),Stromal-muscle,SMG_Serous (0.88),Epithelial-airway,AT2 (0.87),Epithelial-alveolar
f12,f,Low-risk Tumor,10,Ciliated (2.88),Epithelial-airway,AT2 (1.48),Epithelial-alveolar,SMG_Serous (1.34),Epithelial-airway,SMG_Duct (1.24),Epithelial-airway,Fibro_alveolar (0.91),Stromal-fibroblast
