,A,B,R_val,R_z_score,R_p_val
422,B_plasma_IgG,Macro_AW_CX3CR1,0.3284251609124572,88.96042126806368,0.0
159,B_memory,B_plasma_IgG,0.3282899720384862,88.92380269978528,0.0
905,CD8_EM_EMRA,Fibro_peribronchial,0.32822470443101315,88.90612368323299,0.0
1673,Endothelia_Lymphatic,T_reg,0.32815851254654105,88.88819430805721,0.0
1647,Endothelia_Lymphatic,Macrophage_intermediate,0.3275071290046929,88.71175425051443,0.0
399,B_plasma_IgG,DC_plasmacytoid,0.32746799408200733,88.70115378616897,0.0
1639,Endothelia_Lymphatic,Macro_alveolar_metallothioneins,0.32716210171725385,88.61829681639372,0.0
2217,Fibro_peribronchial,MAIT,0.32709221763664004,88.5993673371965,0.0
135,AT2,Muscle_perivascular_immune_recruiting,0.3269074690188145,88.54932453650245,0.0
389,B_plasma_IgG,CD4_naive_CM,0.326765960718281,88.51099422711503,0.0
431,B_plasma_IgG,Macrophage_intermediate,0.32669786019562,88.4925478597062,0.0
689,CD4_TRM,Endothelia_Lymphatic,0.3257870491756518,88.24583676179016,0.0
1648,Endothelia_Lymphatic,Monocyte_CD14,0.32486153338827845,87.99514258809704,0.0
619,CD4_EM_Effector,Endothelia_Lymphatic,0.324571767217498,87.91665371547154,0.0
2242,Fibro_peribronchial,NKT,0.3242584905875986,87.83179657209112,0.0
393,B_plasma_IgG,CD8_TRM,0.3240842503459713,87.7846001719921,0.0
2907,Muscle_pericyte_parenchyma,Muscle_perivascular_immune_recruiting,0.3240371890210391,87.77185268553347,0.0
893,CD8_EM_EMRA,Endothelia_Lymphatic,0.32370285321109743,87.68129124859978,0.0
410,B_plasma_IgG,Erythrocyte,0.3234861393268076,87.62259002611275,0.0
2231,Fibro_peribronchial,Monocyte_CD16,0.3227988262776326,87.43641775408653,0.0
1334,DC_activated,Endothelia_Lymphatic,0.32272618904533773,87.4167425295491,0.0
235,B_naive,B_plasma_IgG,0.32270860803267515,87.41198036611303,0.0
1643,Endothelia_Lymphatic,Macro_CCL,0.3225454313113734,87.36778073832625,0.0
388,B_plasma_IgG,CD4_TRM,0.32248751094382544,87.35209186636908,0.0
254,B_naive,Endothelia_Lymphatic,0.322000931352115,87.22029220358215,0.0
2256,Fibro_peribronchial,gdT,0.321787879726184,87.1625829758786,0.0
385,B_plasma_IgG,B_plasmablast,0.3216987631391684,87.13844399364943,0.0
1393,DC_plasmacytoid,Endothelia_Lymphatic,0.3211382157451208,86.98660869523124,0.0
428,B_plasma_IgG,Mast_cell,0.32106552557753654,86.96691913212841,0.0
1674,Endothelia_Lymphatic,gdT,0.32077819688252796,86.88909049780773,0.0
1635,Endothelia_Lymphatic,MAIT,0.3204630768611591,86.80373403555285,0.0
398,B_plasma_IgG,DC_activated,0.3203899539302678,86.78392724998754,0.0
457,B_plasma_IgG,T_reg,0.32032294219225255,86.76577580133733,0.0
1637,Endothelia_Lymphatic,Macro_interstitial,0.32028245867399713,86.75481004332899,0.0
1644,Endothelia_Lymphatic,Mast_cell,0.3201787980757633,86.72673152930113,0.0
446,B_plasma_IgG,NK_CD56bright,0.32007178519070134,86.69774498238196,0.0
478,B_plasmablast,Endothelia_vascular_Cap_g,0.3199750784973604,86.67155007041131,0.0
1636,Endothelia_Lymphatic,Macro_CHIT1,0.31981315956541917,86.62769113963772,0.0
432,B_plasma_IgG,Monocyte_CD14,0.31914703985447246,86.44725950055091,0.0
447,B_plasma_IgG,Neuroendocrine,0.3190810932916301,86.42939657556875,0.0
427,B_plasma_IgG,Macro_CCL,0.318842104229893,86.36466168268927,0.0
1707,Endothelia_vascular_Cap_a,Muscle_perivascular_immune_recruiting,0.3185462267132922,86.28451743172072,0.0
387,B_plasma_IgG,CD4_EM_Effector,0.3183051039442229,86.21920458219928,0.0
1663,Endothelia_Lymphatic,Neuroendocrine,0.3182579100900502,86.20642119758648,0.0
1633,Endothelia_Lymphatic,ILC,0.3178636710555388,86.09963379283037,0.0
445,B_plasma_IgG,NK_CD11d,0.3178309796064746,86.09077867018223,0.0
443,B_plasma_IgG,NK_CD16hi,0.31778880247554425,86.07935416383498,0.0
1659,Endothelia_Lymphatic,NK_CD16hi,0.317292693727483,85.94497334142878,0.0
