A,B,R
B_memory,Ciliated,0.17354602268380379
B_memory,DC_1,0.2400398263508267
B_memory,DC_2,0.2603242210132744
B_memory,DC_activated,0.2763577833325009
B_memory,DC_plasmacytoid,0.24927363369454325
B_memory,Deuterosomal,0.15331727314429575
B_memory,Dividing_AT2,0.2682867921205474
B_memory,Dividing_Basal,0.11320019637341648
B_memory,Endothelia_Lymphatic,-0.14339718307062746
B_memory,Endothelia_vascular_Cap_a,0.2938737097590817
B_memory,Endothelia_vascular_Cap_g,0.28722842929508097
B_memory,Endothelia_vascular_arterial_pulmonary,0.18112064652855592
B_memory,Endothelia_vascular_arterial_systemic,0.05490548029655832
B_memory,Endothelia_vascular_venous_pulmonary,-0.06159094447932881
B_memory,Endothelia_vascular_venous_systemic,-0.2750873765879737
B_memory,Erythrocyte,0.27136876879941024
B_memory,Fibro_adventitial,-0.19062827236308774
B_memory,Fibro_alveolar,0.2999258695485547
B_memory,Fibro_immune_recruiting,-0.16444201925247184
B_memory,Fibro_myofibroblast,-0.1530878132080931
B_memory,Fibro_peribronchial,0.059220496008537855
B_memory,Fibro_perichondrial,-0.07668834283036532
B_memory,ILC,0.23646057950693075
B_memory,Ionocyte_n_Brush,0.16117689258574222
B_memory,MAIT,0.2618093292148871
B_memory,Macro_CHIT1,0.23648780454246215
B_memory,Macro_interstitial,0.249557277931387
B_memory,Macro_AW_CX3CR1,0.17385559494390537
B_memory,Macro_alveolar_metallothioneins,0.0683301909083079
B_memory,Macro_alv,0.26555496227582065
B_memory,Macro_dividing,0.26782292926298795
B_memory,Macro_int,0.12154800609143478
B_memory,Macro_CCL,0.24970591801166167
B_memory,Mast_cell,0.2606796562540007
B_memory,Megakaryocyte,0.16901384444781123
B_memory,Mesothelia,-0.16117710503432942
B_memory,Macrophage_intermediate,0.14574454543083534
B_memory,Monocyte_CD14,0.24566228445116622
B_memory,Monocyte_CD16,0.19653054418607402
B_memory,Muscle_airway,-0.007238340162627117
B_memory,Muscle_pericyte_airway,-0.21628908004735975
B_memory,Muscle_pericyte_parenchyma,0.2670857227680695
B_memory,Muscle_perivascular_immune_recruiting,-0.1808443597543203
B_memory,Muscle_smooth_pulmonary,0.03353922364882326
B_memory,Muscle_smooth_syst_arterial,0.024066700182346558
B_memory,Myoepithelial,-0.048917874563369046
B_memory,NAF_endoneurial,0.08301714036147449
B_memory,NAF_perineurial,0.029495849262078256
B_memory,NK_CD16hi,0.2403442636181222
B_memory,NKT,0.2319377788032957
B_memory,NK_CD11d,0.2363580463735562
B_memory,NK_CD56bright,0.2571047894361524
B_memory,Neuroendocrine,0.06304860452942891
B_memory,SMG_Basal,-0.05127258434671006
B_memory,SMG_Duct,-0.11617235335012244
B_memory,SMG_Mucous,0.03578109174841741
B_memory,SMG_Serous,-0.1194496714992608
B_memory,Schwann_Myelinating,0.06290757645240058
B_memory,Schwann_nonmyelinating,0.23684054432583868
B_memory,Secretory_Club,0.18064312878117456
B_memory,Secretory_Goblet,0.2066066315149909
B_memory,Suprabasal,0.05992586617966254
B_memory,T_reg,0.26228025245227016
B_memory,gdT,0.24338266878714931
B_naive,B_naive,0.25625275203026143
B_naive,B_plasma_IgA,-8.141296075740384e-05
B_naive,B_plasma_IgG,-0.10519733284632164
B_naive,B_plasmablast,-0.11664072685188918
B_naive,Basal,0.06943257829110863
B_naive,CD4_EM_Effector,0.26699424976459774
B_naive,CD4_TRM,0.24517359241498007
B_naive,CD4_naive_CM,0.11333986951824089
B_naive,CD8_EM,0.2667444395233251
B_naive,CD8_EM_EMRA,0.26143449599961815
B_naive,CD8_TRM_EM,0.27891171538057297
B_naive,CD8_TRM,0.28117260731700683
B_naive,Chondrocyte,-0.18463110050192477
B_naive,Ciliated,0.17555884272060593
B_naive,DC_1,0.24640718890880317
B_naive,DC_2,0.2683218297825351
B_naive,DC_activated,0.28683071935114135
B_naive,DC_plasmacytoid,0.2565499252131019
B_naive,Deuterosomal,0.15042673315640348
B_naive,Dividing_AT2,0.27842916846541066
B_naive,Dividing_Basal,0.11237786010981253
B_naive,Endothelia_Lymphatic,-0.15548729235986997
B_naive,Endothelia_vascular_Cap_a,0.3046097256901838
B_naive,Endothelia_vascular_Cap_g,0.298469049639253
B_naive,Endothelia_vascular_arterial_pulmonary,0.1932513413169551
B_naive,Endothelia_vascular_arterial_systemic,0.05956381304109272
B_naive,Endothelia_vascular_venous_pulmonary,-0.06173506254740681
B_naive,Endothelia_vascular_venous_systemic,-0.2810125312521642
B_naive,Erythrocyte,0.28376094055745965
B_naive,Fibro_adventitial,-0.20368232052370816
B_naive,Fibro_alveolar,0.3097801816566196
B_naive,Fibro_immune_recruiting,-0.17629459497572755
B_naive,Fibro_myofibroblast,-0.16705053075952925
B_naive,Fibro_peribronchial,0.05634700562224758
B_naive,Fibro_perichondrial,-0.06794328082382578
B_naive,ILC,0.24361502397863236
B_naive,Ionocyte_n_Brush,0.1628890485221878
B_naive,MAIT,0.2710987635744507
B_naive,Macro_CHIT1,0.2470742015843254
B_naive,Macro_interstitial,0.2599899641834442
B_naive,Macro_AW_CX3CR1,0.1735120806323898
B_naive,Macro_alveolar_metallothioneins,0.06574460972234396
B_naive,Macro_alv,0.2770777306232644
B_naive,Macro_dividing,0.28000281353711914
B_naive,Macro_int,0.12046370494378177
B_naive,Macro_CCL,0.2599091477956655
B_naive,Mast_cell,0.2636469558180326
B_naive,Megakaryocyte,0.17619004592601012
B_naive,Mesothelia,-0.1729222790266275
B_naive,Macrophage_intermediate,0.1478869995353165
B_naive,Monocyte_CD14,0.2540903405874469
B_naive,Monocyte_CD16,0.20187922570890615
B_naive,Muscle_airway,-0.006564009430497126
B_naive,Muscle_pericyte_airway,-0.22758357262441462
B_naive,Muscle_pericyte_parenchyma,0.2774961728741938
B_naive,Muscle_perivascular_immune_recruiting,-0.19081740559392402
B_naive,Muscle_smooth_pulmonary,0.035940638803432755
B_naive,Muscle_smooth_syst_arterial,0.02811714204872713
B_naive,Myoepithelial,-0.052273492864079944
B_naive,NAF_endoneurial,0.08537274917039879
B_naive,NAF_perineurial,0.03231319272470587
B_naive,NK_CD16hi,0.24747487045287722
B_naive,NKT,0.23948035450358296
B_naive,NK_CD11d,0.2422511356905387
B_naive,NK_CD56bright,0.2645287040706855
B_naive,Neuroendocrine,0.059909161246171946
B_naive,SMG_Basal,-0.058921111639610065
B_naive,SMG_Duct,-0.12433200778292537
B_naive,SMG_Mucous,0.0306120327785829
B_naive,SMG_Serous,-0.1254989853172695
B_naive,Schwann_Myelinating,0.06086343295068171
B_naive,Schwann_nonmyelinating,0.24062609503987492
B_naive,Secretory_Club,0.17809922238400339
B_naive,Secretory_Goblet,0.20750764732676263
B_naive,Suprabasal,0.06033028468336175
B_naive,T_reg,0.27089630380798324
B_naive,gdT,0.25124812497923127
B_plasma_IgA,B_plasma_IgA,-0.040021505121236915
B_plasma_IgA,B_plasma_IgG,-0.028542989599237577
B_plasma_IgA,B_plasmablast,-0.008124500381100413
B_plasma_IgA,Basal,-0.003470325829019264
B_plasma_IgA,CD4_EM_Effector,0.014731795104139623
B_plasma_IgA,CD4_TRM,0.012617904614453506
B_plasma_IgA,CD4_naive_CM,0.05213814156174875
B_plasma_IgA,CD8_EM,0.013589526956855003
B_plasma_IgA,CD8_EM_EMRA,0.01845407479187796
B_plasma_IgA,CD8_TRM_EM,0.015756546140881546
B_plasma_IgA,CD8_TRM,0.016710597216827806
B_plasma_IgA,Chondrocyte,-0.0955560250403387
B_plasma_IgA,Ciliated,-0.005087986441273474
B_plasma_IgA,DC_1,0.008349003901860283
B_plasma_IgA,DC_2,0.009342194863672928
B_plasma_IgA,DC_activated,0.0160698597434556
B_plasma_IgA,DC_plasmacytoid,0.007808846206453309
B_plasma_IgA,Deuterosomal,0.006750873503996956
B_plasma_IgA,Dividing_AT2,0.013948357094595434
B_plasma_IgA,Dividing_Basal,0.06069053164700177
B_plasma_IgA,Endothelia_Lymphatic,0.041212760615732355
B_plasma_IgA,Endothelia_vascular_Cap_a,0.03440239175536069
B_plasma_IgA,Endothelia_vascular_Cap_g,0.030604219588121706
B_plasma_IgA,Endothelia_vascular_arterial_pulmonary,0.020024734276528653
B_plasma_IgA,Endothelia_vascular_arterial_systemic,0.0056428386625158615
B_plasma_IgA,Endothelia_vascular_venous_pulmonary,0.01601761170129127
B_plasma_IgA,Endothelia_vascular_venous_systemic,-0.010392215423494978
B_plasma_IgA,Erythrocyte,0.013750800503625225
B_plasma_IgA,Fibro_adventitial,-0.01874210505679482
B_plasma_IgA,Fibro_alveolar,0.040342625340111446
B_plasma_IgA,Fibro_immune_recruiting,-0.030096624714555084
B_plasma_IgA,Fibro_myofibroblast,0.009995514126854491
B_plasma_IgA,Fibro_peribronchial,0.05972687965413534
B_plasma_IgA,Fibro_perichondrial,-0.024896604948605006
B_plasma_IgA,ILC,0.010218156674171173
B_plasma_IgA,Ionocyte_n_Brush,0.004166558316252226
B_plasma_IgA,MAIT,0.016141965300594467
B_plasma_IgA,Macro_CHIT1,0.01283233397708685
B_plasma_IgA,Macro_interstitial,0.01247756723559827
B_plasma_IgA,Macro_AW_CX3CR1,-0.010594908685770829
B_plasma_IgA,Macro_alveolar_metallothioneins,0.0031561697033744697
B_plasma_IgA,Macro_alv,0.02609042710332783
B_plasma_IgA,Macro_dividing,0.017150727045039678
B_plasma_IgA,Macro_int,0.004759628869514458
B_plasma_IgA,Macro_CCL,0.008784206277982208
B_plasma_IgA,Mast_cell,0.05124824945237064
B_plasma_IgA,Megakaryocyte,-0.011641679831829933
B_plasma_IgA,Mesothelia,-0.0279411617576625
B_plasma_IgA,Macrophage_intermediate,-0.0007642304649777689
B_plasma_IgA,Monocyte_CD14,0.02521083220325827
B_plasma_IgA,Monocyte_CD16,0.011267291478670026
B_plasma_IgA,Muscle_airway,0.03552593081096737
B_plasma_IgA,Muscle_pericyte_airway,-0.006284318852699676
B_plasma_IgA,Muscle_pericyte_parenchyma,0.027017553210239926
B_plasma_IgA,Muscle_perivascular_immune_recruiting,-0.026889486330285463
B_plasma_IgA,Muscle_smooth_pulmonary,0.038595458006168246
B_plasma_IgA,Muscle_smooth_syst_arterial,0.027592338405281143
B_plasma_IgA,Myoepithelial,-0.056314208181671224
B_plasma_IgA,NAF_endoneurial,0.029611073525875387
B_plasma_IgA,NAF_perineurial,0.033528953685413546
B_plasma_IgA,NK_CD16hi,0.0075561368904198175
B_plasma_IgA,NKT,0.014567581478225887
B_plasma_IgA,NK_CD11d,0.004282110900211464
B_plasma_IgA,NK_CD56bright,0.007709515131815703
B_plasma_IgA,Neuroendocrine,-0.027866793405008944
B_plasma_IgA,SMG_Basal,-0.032815073229297886
B_plasma_IgA,SMG_Duct,-0.06036585393652998
B_plasma_IgA,SMG_Mucous,-0.03048459542254234
B_plasma_IgA,SMG_Serous,-0.07274115563204839
B_plasma_IgA,Schwann_Myelinating,-0.029670642011058478
B_plasma_IgA,Schwann_nonmyelinating,0.028838032466062504
B_plasma_IgA,Secretory_Club,-0.008696113691299972
B_plasma_IgA,Secretory_Goblet,0.014809733344927446
B_plasma_IgA,Suprabasal,0.008653961794098754
B_plasma_IgA,T_reg,0.016594748972928466
B_plasma_IgA,gdT,0.011017378531582288
B_plasma_IgG,B_plasma_IgG,0.07691332770287992
B_plasma_IgG,B_plasmablast,0.11493504698222234
B_plasma_IgG,Basal,-0.013339800038603468
B_plasma_IgG,CD4_EM_Effector,-0.11920000373888505
B_plasma_IgG,CD4_TRM,-0.0995739918427969
B_plasma_IgG,CD4_naive_CM,0.04187423274380582
B_plasma_IgG,CD8_EM,-0.11945349370416788
B_plasma_IgG,CD8_EM_EMRA,-0.11259429065600604
B_plasma_IgG,CD8_TRM_EM,-0.12726831448474546
B_plasma_IgG,CD8_TRM,-0.12416225407321467
B_plasma_IgG,Chondrocyte,-0.005186420779836738
B_plasma_IgG,Ciliated,-0.08193535678091911
B_plasma_IgG,DC_1,-0.0967002581955393
B_plasma_IgG,DC_2,-0.11609100528974677
B_plasma_IgG,DC_activated,-0.1323203038811035
B_plasma_IgG,DC_plasmacytoid,-0.11544770783601585
B_plasma_IgG,Deuterosomal,-0.061817936718201766
B_plasma_IgG,Dividing_AT2,-0.13362822461028545
B_plasma_IgG,Dividing_Basal,0.033042986693804545
B_plasma_IgG,Endothelia_Lymphatic,0.1700503264056621
B_plasma_IgG,Endothelia_vascular_Cap_a,-0.12800933434760187
B_plasma_IgG,Endothelia_vascular_Cap_g,-0.12993100174061725
B_plasma_IgG,Endothelia_vascular_arterial_pulmonary,-0.09352534914868034
B_plasma_IgG,Endothelia_vascular_arterial_systemic,-0.05793125451153852
B_plasma_IgG,Endothelia_vascular_venous_pulmonary,0.06609161456347282
B_plasma_IgG,Endothelia_vascular_venous_systemic,0.16256482654378213
B_plasma_IgG,Erythrocyte,-0.14093713340944727
B_plasma_IgG,Fibro_adventitial,0.11466070681090211
B_plasma_IgG,Fibro_alveolar,-0.12886605439802376
B_plasma_IgG,Fibro_immune_recruiting,0.09948340761972504
B_plasma_IgG,Fibro_myofibroblast,0.12781325268220342
B_plasma_IgG,Fibro_peribronchial,0.050135417838120075
B_plasma_IgG,Fibro_perichondrial,0.0060108089677509855
B_plasma_IgG,ILC,-0.10685211811927463
B_plasma_IgG,Ionocyte_n_Brush,-0.05825998710845892
B_plasma_IgG,MAIT,-0.12268257188017583
B_plasma_IgG,Macro_CHIT1,-0.1109138155232308
B_plasma_IgG,Macro_interstitial,-0.1133754554895219
B_plasma_IgG,Macro_AW_CX3CR1,-0.0737471787124776
B_plasma_IgG,Macro_alveolar_metallothioneins,0.01664582688581195
B_plasma_IgG,Macro_alv,-0.10996445811335592
B_plasma_IgG,Macro_dividing,-0.12097548918675859
B_plasma_IgG,Macro_int,-0.01718506158666558
B_plasma_IgG,Macro_CCL,-0.12147723085184664
B_plasma_IgG,Mast_cell,-0.06215533770694727
B_plasma_IgG,Megakaryocyte,-0.09483393076313408
B_plasma_IgG,Mesothelia,0.10632340414526979
B_plasma_IgG,Macrophage_intermediate,-0.04917862549345264
B_plasma_IgG,Monocyte_CD14,-0.09448281934074007
B_plasma_IgG,Monocyte_CD16,-0.07151565050310546
B_plasma_IgG,Muscle_airway,0.021328612808135018
B_plasma_IgG,Muscle_pericyte_airway,0.14298119784275543
B_plasma_IgG,Muscle_pericyte_parenchyma,-0.12450882540914578
B_plasma_IgG,Muscle_perivascular_immune_recruiting,0.11716317984994405
B_plasma_IgG,Muscle_smooth_pulmonary,0.00014475485872055287
B_plasma_IgG,Muscle_smooth_syst_arterial,-0.0047236949384819975
B_plasma_IgG,Myoepithelial,-0.0003640025543845374
B_plasma_IgG,NAF_endoneurial,-0.011243321409226816
B_plasma_IgG,NAF_perineurial,0.002167031702684673
B_plasma_IgG,NK_CD16hi,-0.1111250829781779
B_plasma_IgG,NKT,-0.09960711084171625
B_plasma_IgG,NK_CD11d,-0.10754977888506363
B_plasma_IgG,NK_CD56bright,-0.12140275319844072
B_plasma_IgG,Neuroendocrine,-0.03571029055336784
B_plasma_IgG,SMG_Basal,0.044269533122643825
B_plasma_IgG,SMG_Duct,0.04068429368573013
B_plasma_IgG,SMG_Mucous,0.030109922025786287
