A,B,R
B_memory,Endothelia_vascular_Cap_g,0.4542674422264099
B_memory,Endothelia_vascular_arterial_pulmonary,0.28927209973335266
B_memory,Endothelia_vascular_arterial_systemic,0.033400531858205795
B_memory,Endothelia_vascular_venous_pulmonary,0.23961493372917175
B_memory,Endothelia_vascular_venous_systemic,0.10245444625616074
B_memory,Erythrocyte,0.5441110730171204
B_memory,Fibro_adventitial,0.04377420246601105
B_memory,Fibro_alveolar,0.4901359975337982
B_memory,Fibro_immune_recruiting,0.21197451651096344
B_memory,Fibro_myofibroblast,0.055359452962875366
B_memory,Fibro_peribronchial,0.050308071076869965
B_memory,Fibro_perichondrial,-0.005650721490383148
B_memory,ILC,0.4858342409133911
B_memory,Ionocyte_n_Brush,0.09863868355751038
B_memory,MAIT,0.5383162498474121
B_memory,Macro_CHIT1,0.34280991554260254
B_memory,Macro_interstitial,0.5646125674247742
B_memory,Macro_AW_CX3CR1,0.44954171776771545
B_memory,Macro_alveolar_metallothioneins,0.5414180755615234
B_memory,Macro_alv,0.30233490467071533
B_memory,Macro_dividing,0.39098456501960754
B_memory,Macro_int,0.5507426261901855
B_memory,Macro_CCL,0.5532528162002563
B_memory,Mast_cell,0.5028976202011108
B_memory,Megakaryocyte,0.21113131940364838
B_memory,Mesothelia,0.3018020689487457
B_memory,Macrophage_intermediate,0.5350268483161926
B_memory,Monocyte_CD14,0.5738800168037415
B_memory,Monocyte_CD16,0.5634769201278687
B_memory,Muscle_airway,-0.20016950368881226
B_memory,Muscle_pericyte_airway,0.16271333396434784
B_memory,Muscle_pericyte_parenchyma,0.44542235136032104
B_memory,Muscle_perivascular_immune_recruiting,0.2402912676334381
B_memory,Muscle_smooth_pulmonary,-0.1820429265499115
B_memory,Muscle_smooth_syst_arterial,-0.1984410285949707
B_memory,Myoepithelial,0.21249018609523773
B_memory,NAF_endoneurial,-0.08872727304697037
B_memory,NAF_perineurial,-0.16664041578769684
B_memory,NK_CD16hi,0.48208194971084595
B_memory,NKT,0.5492700934410095
B_memory,NK_CD11d,0.43912768363952637
B_memory,NK_CD56bright,0.41932472586631775
B_memory,Neuroendocrine,0.21777258813381195
B_memory,SMG_Basal,0.14356862008571625
B_memory,SMG_Duct,0.20441097021102905
B_memory,SMG_Mucous,0.21625816822052002
B_memory,SMG_Serous,0.1974368691444397
B_memory,Schwann_Myelinating,0.1453622579574585
B_memory,Schwann_nonmyelinating,-0.0826968252658844
B_memory,Secretory_Club,0.11245782673358917
B_memory,Secretory_Goblet,0.08732233941555023
B_memory,Suprabasal,0.05816435441374779
B_memory,T_reg,0.5005910396575928
B_memory,gdT,0.5050734281539917
B_naive,B_naive,0.5567366480827332
B_naive,B_plasma_IgA,0.3174399137496948
B_naive,B_plasma_IgG,0.10511371493339539
B_naive,B_plasmablast,0.27790912985801697
B_naive,Basal,0.2587772309780121
B_naive,CD4_EM_Effector,0.5417453646659851
B_naive,CD4_TRM,0.5452547073364258
B_naive,CD4_naive_CM,0.3558160364627838
B_naive,CD8_EM,0.5452308654785156
B_naive,CD8_EM_EMRA,0.5225909948348999
B_naive,CD8_TRM_EM,0.5451199412345886
B_naive,CD8_TRM,0.5320053696632385
B_naive,Chondrocyte,0.25022071599960327
B_naive,Ciliated,0.21715609729290009
B_naive,DC_1,0.4680357873439789
B_naive,DC_2,0.5216803550720215
B_naive,DC_activated,0.5263683795928955
B_naive,DC_plasmacytoid,0.5352025032043457
B_naive,Deuterosomal,0.19950230419635773
B_naive,Dividing_AT2,0.4809032678604126
B_naive,Dividing_Basal,0.36708056926727295
B_naive,Endothelia_Lymphatic,0.22806823253631592
B_naive,Endothelia_vascular_Cap_a,0.4952769875526428
B_naive,Endothelia_vascular_Cap_g,0.49529194831848145
B_naive,Endothelia_vascular_arterial_pulmonary,0.36926183104515076
B_naive,Endothelia_vascular_arterial_systemic,0.13272003829479218
B_naive,Endothelia_vascular_venous_pulmonary,0.325486421585083
B_naive,Endothelia_vascular_venous_systemic,0.13338889181613922
B_naive,Erythrocyte,0.4990265667438507
B_naive,Fibro_adventitial,0.0836762934923172
B_naive,Fibro_alveolar,0.4592128396034241
B_naive,Fibro_immune_recruiting,0.301191508769989
B_naive,Fibro_myofibroblast,0.07583673298358917
B_naive,Fibro_peribronchial,0.19116802513599396
B_naive,Fibro_perichondrial,-0.011028346605598927
B_naive,ILC,0.5372750163078308
B_naive,Ionocyte_n_Brush,0.24924707412719727
B_naive,MAIT,0.5396456718444824
B_naive,Macro_CHIT1,0.20084168016910553
B_naive,Macro_interstitial,0.4809880554676056
B_naive,Macro_AW_CX3CR1,0.5229708552360535
B_naive,Macro_alveolar_metallothioneins,0.48091408610343933
