A,B,R,z,p
B_naive,B_naive,0.5730953216552734,307.4187316894531,0.0
B_naive,B_plasma_IgA,0.3245445787906647,174.0915985107422,0.0
B_naive,B_plasma_IgG,0.13109858334064484,70.32366180419922,0.0
B_naive,B_plasmablast,0.30493155121803284,163.57081604003906,0.0
B_naive,Basal,0.25126683712005615,134.78408813476562,0.0
B_naive,CD4_EM_Effector,0.5579499006271362,299.29443359375,0.0
B_naive,CD4_TRM,0.5599355101585388,300.35955810546875,0.0
B_naive,CD4_naive_CM,0.3897077441215515,209.0463104248047,0.0
B_naive,CD8_EM,0.561275839805603,301.07855224609375,0.0
B_naive,CD8_EM_EMRA,0.5432417392730713,291.40472412109375,0.0
B_naive,CD8_TRM_EM,0.5622566342353821,301.6046447753906,0.0
B_naive,CD8_TRM,0.5428220629692078,291.1795959472656,0.0
B_naive,Chondrocyte,0.27377578616142273,146.85829162597656,0.0
B_naive,Ciliated,0.20912523567676544,112.17857360839844,0.0
B_naive,DC_1,0.4962227940559387,266.18292236328125,0.0
B_naive,DC_2,0.543444812297821,291.5136413574219,0.0
B_naive,DC_activated,0.5471298098564148,293.4903564453125,0.0
B_naive,DC_plasmacytoid,0.5490232110023499,294.5060119628906,0.0
B_naive,Deuterosomal,0.1433679461479187,76.90516662597656,0.0
B_naive,Dividing_AT2,0.4989152252674103,267.6271667480469,0.0
B_naive,Dividing_Basal,0.37269124388694763,199.91835021972656,0.0
B_naive,Endothelia_Lymphatic,0.2527078688144684,135.5570831298828,0.0
B_naive,Endothelia_vascular_Cap_a,0.5130031108856201,275.1841735839844,0.0
B_naive,Endothelia_vascular_Cap_g,0.5125443935394287,274.9381103515625,0.0
B_naive,Endothelia_vascular_arterial_pulmonary,0.3796789348125458,203.6666717529297,0.0
B_naive,Endothelia_vascular_arterial_systemic,0.1272965967655182,68.2842025756836,0.0
B_naive,Endothelia_vascular_venous_pulmonary,0.34183695912361145,183.3675537109375,0.0
B_naive,Endothelia_vascular_venous_systemic,0.15661314129829407,84.0101318359375,0.0
B_naive,Erythrocyte,0.5195721387863159,278.7079162597656,0.0
B_naive,Fibro_adventitial,0.10474753379821777,56.1884765625,0.0
B_naive,Fibro_alveolar,0.4796938896179199,257.3164978027344,0.0
B_naive,Fibro_immune_recruiting,0.3189844489097595,171.10903930664062,0.0
B_naive,Fibro_myofibroblast,0.09525829553604126,51.0982780456543,0.0
B_naive,Fibro_peribronchial,0.20270299911499023,108.73356628417969,0.0
B_naive,Fibro_perichondrial,0.040832728147506714,21.90341567993164,2.4101839281933846e-106
B_naive,ILC,0.5539959669113159,297.1734924316406,0.0
B_naive,Ionocyte_n_Brush,0.24461476504802704,131.21580505371094,0.0
B_naive,MAIT,0.5589932799339294,299.8541259765625,0.0
B_naive,Macro_CHIT1,0.23582039773464203,126.49833679199219,0.0
B_naive,Macro_interstitial,0.5059870481491089,271.4206237792969,0.0
B_naive,Macro_AW_CX3CR1,0.540212094783783,289.7795715332031,0.0
B_naive,Macro_alveolar_metallothioneins,0.5054225921630859,271.11785888671875,0.0
B_naive,Macro_alv,0.20021682977676392,107.39994049072266,0.0
B_naive,Macro_dividing,0.3026442229747772,162.34385681152344,0.0
B_naive,Macro_int,0.42702963948249817,229.0664520263672,0.0
B_naive,Macro_CCL,0.5238049030303955,280.97845458984375,0.0
B_naive,Mast_cell,0.5012772679328918,268.89422607421875,0.0
B_naive,Megakaryocyte,0.39204496145248413,210.30003356933594,0.0
B_naive,Mesothelia,0.32699474692344666,175.40591430664062,0.0
B_naive,Macrophage_intermediate,0.5402580499649048,289.8042297363281,0.0
B_naive,Monocyte_CD14,0.5051979422569275,270.9973449707031,0.0
B_naive,Monocyte_CD16,0.5500612854957581,295.0628662109375,0.0
B_naive,Muscle_airway,-0.1154823899269104,-61.94684982299805,0.0
B_naive,Muscle_pericyte_airway,0.18783394992351532,100.75753784179688,0.0
B_naive,Muscle_pericyte_parenchyma,0.5054502487182617,271.1326904296875,0.0
B_naive,Muscle_perivascular_immune_recruiting,0.3521694242954254,188.91006469726562,0.0
B_naive,Muscle_smooth_pulmonary,-0.10533484071493149,-56.50352096557617,0.0
B_naive,Muscle_smooth_syst_arterial,-0.11477991193532944,-61.57002639770508,0.0
B_naive,Myoepithelial,0.3652156591415405,195.90830993652344,0.0
B_naive,NAF_endoneurial,0.029868189245462418,16.021839141845703,8.99499382811011e-58
B_naive,NAF_perineurial,-0.07346697896718979,-39.409019470214844,0.0
B_naive,NK_CD16hi,0.5726892948150635,307.200927734375,0.0
B_naive,NKT,0.5579577684402466,299.2986755371094,0.0
B_naive,NK_CD11d,0.5603346228599548,300.57366943359375,0.0
B_naive,NK_CD56bright,0.5334937572479248,286.17572021484375,0.0
B_naive,Neuroendocrine,0.38278287649154663,205.33168029785156,0.0
B_naive,SMG_Basal,0.32024717330932617,171.78639221191406,0.0
B_naive,SMG_Duct,0.3730393648147583,200.10508728027344,0.0
B_naive,SMG_Mucous,0.40511980652809143,217.31361389160156,0.0
B_naive,SMG_Serous,0.3561215400695801,191.03005981445312,0.0
B_naive,Schwann_Myelinating,0.3249482214450836,174.30812072753906,0.0
B_naive,Schwann_nonmyelinating,0.008517134934663773,4.5687456130981445,4.9065185997910786e-06
B_naive,Secretory_Club,0.17632994055747986,94.58657836914062,0.0
B_naive,Secretory_Goblet,0.20408104360103607,109.47277069091797,0.0
B_naive,Suprabasal,0.18285375833511353,98.08607482910156,0.0
B_naive,T_reg,0.5643723011016846,302.7395324707031,0.0
B_naive,gdT,0.5604749917984009,300.6489562988281,0.0
B_plasma_IgA,B_plasma_IgA,0.5731751918792725,307.4615783691406,0.0
B_plasma_IgA,B_plasma_IgG,-0.0661492720246315,-35.48366928100586,8.779647584102255e-276
B_plasma_IgA,B_plasmablast,0.22429466247558594,120.31572723388672,0.0
